X.libraryId	max_intergenic	cutoffTPM	cutoffGenicTPM	cutoffFPKM	cutoffGenicFPKM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	ratioIntergenicCodingPresent	species	organism
ERX221782	9.87366753	0.0520756	0.0525222169885039	0.0511486265937742	0.0543060300561896	50.3074786748661	15216	30246	64.9440766948185	14226	21905	19.1052777521028	4134	21638	0.05	9544	Macaca mulatta
ERX221783	9.87366753	0.0501626	0.0505894862995509	0.0493745440425638	0.052386393794687	50.6347946835945	15315	30246	64.8984250171194	14216	21905	19.1376282466032	4141	21638	0.05	9544	Macaca mulatta
ERX221784	9.87366753	0.0451931	0.0454915066942543	0.048952939115421	0.0514628276503803	48.3039079547709	14610	30246	62.6523624743209	13724	21905	19.0821702560311	4129	21638	0.05	9544	Macaca mulatta
ERX221785	9.87366753	0.0445103	0.0448050726417676	0.0481193513221405	0.0505626649908505	48.5650995172915	14689	30246	62.8486646884273	13767	21905	19.2393012293188	4163	21638	0.05	9544	Macaca mulatta
ERX221786	9.87366753	0.0451856	0.0455233297096389	0.0447179527759413	0.0470086399649856	48.8858030813992	14786	30246	63.4877881762155	13907	21905	19.0960347536741	4132	21638	0.05	9544	Macaca mulatta
ERX221787	9.87366753	0.042733	0.043043781115964	0.0431119343324804	0.0452847480768355	49.1271573100575	14859	30246	63.620178041543	13936	21905	19.2161937332471	4158	21638	0.05	9544	Macaca mulatta
SRX014842	9.87366753	0.558534	0.568146621102213	0.423665978424829	0.472845129284776	45.2258149837995	13679	30246	60.4473864414517	13241	21905	17.5616970145115	3800	21638	0.05	9544	Macaca mulatta
SRX014843	9.87366753	0.590548	0.600725937176153	0.446856302839267	0.499031541229308	44.8356807511737	13561	30246	60.0593471810089	13156	21905	17.0440891025049	3688	21638	0.05	9544	Macaca mulatta
SRX014844	9.87366753	0.64391	0.655366303783957	0.472664339338992	0.527911171647909	44.0521060636117	13324	30246	58.9134900707601	12905	21905	16.1937332470653	3504	21638	0.05	9544	Macaca mulatta
SRX014845	9.87366753	0.726333	0.739571136663616	0.529229370319995	0.593254386726536	42.7659855848707	12935	30246	57.4206802099977	12578	21905	15.2601904057676	3302	21638	0.05	9544	Macaca mulatta
SRX014846	9.87366753	0.708041	0.721253303547046	0.53582656751996	0.603901400802954	44.8588243073464	13568	30246	59.8128281214335	13102	21905	16.9609021166466	3670	21638	0.05	9544	Macaca mulatta
SRX014847	9.87366753	0.704978	0.718169325935027	0.5338871062745	0.601820768885915	44.7298816372413	13529	30246	59.7534809404246	13089	21905	17.099547093077	3700	21638	0.05	9544	Macaca mulatta
SRX014848	9.87366753	0.688555	0.702284604604385	0.481800155261788	0.543512467816518	44.3430536269259	13412	30246	59.2193563113444	12972	21905	16.9054441260745	3658	21638	0.05	9544	Macaca mulatta
SRX014849	9.87366753	0.678994	0.692422133339619	0.473906407051573	0.533518541532228	44.2901540699597	13396	30246	59.1600091303355	12959	21905	16.9008226268602	3657	21638	0.05	9544	Macaca mulatta
SRX014850	9.87366753	1.35252000187742	1.38142119635621	1.12424762048286	1.32414848999781	35.5848707267077	10763	30246	47.3544852773339	10373	21905	11.4520750531472	2478	21638	0.05	9544	Macaca mulatta
SRX014851	9.87366753	1.30728	1.334759956409	1.0908160527662	1.28306884444234	35.7898565099517	10825	30246	47.6512211823784	10438	21905	11.6923930122932	2530	21638	0.05	9544	Macaca mulatta
SRX014852	9.87366753	0.498506	0.505549634910606	0.413122636304446	0.457099225500891	44.7166567479997	13525	30246	59.621091075097	13060	21905	16.6004251779277	3592	21638	0.05	9544	Macaca mulatta
SRX014853	9.87366753	0.434534	0.440400275679003	0.362748874612603	0.398921681400252	44.5414269655492	13472	30246	59.6804382561059	13073	21905	17.2428135687217	3731	21638	0.05	9544	Macaca mulatta
