id	call
ENSMUSG00000007564	present
ENSMUSG00000007589	present
ENSMUSG00000007594	present
ENSMUSG00000007603	present
ENSMUSG00000007610	present
ENSMUSG00000007613	present
ENSMUSG00000007655	present
ENSMUSG00000007656	present
ENSMUSG00000007659	present
ENSMUSG00000007670	present
ENSMUSG00000007721	present
ENSMUSG00000007739	present
ENSMUSG00000007777	present
ENSMUSG00000007812	present
ENSMUSG00000007815	present
ENSMUSG00000007817	present
ENSMUSG00000007833	present
ENSMUSG00000007837	present
ENSMUSG00000007850	present
ENSMUSG00000007867	present
ENSMUSG00000007872	present
ENSMUSG00000007880	present
ENSMUSG00000007891	present
ENSMUSG00000007892	present
ENSMUSG00000007987	present
ENSMUSG00000008035	present
ENSMUSG00000008036	present
ENSMUSG00000008090	present
ENSMUSG00000008167	present
ENSMUSG00000008200	present
ENSMUSG00000008226	present
ENSMUSG00000008301	present
ENSMUSG00000008305	present
ENSMUSG00000008333	present
ENSMUSG00000008348	present
ENSMUSG00000008373	present
ENSMUSG00000008384	present
ENSMUSG00000008393	present
ENSMUSG00000008398	present
ENSMUSG00000008429	present
ENSMUSG00000008435	present
ENSMUSG00000008450	present
ENSMUSG00000008475	present
ENSMUSG00000008540	present
ENSMUSG00000008575	present
ENSMUSG00000008604	present
ENSMUSG00000008668	present
ENSMUSG00000008682	present
ENSMUSG00000008683	present
ENSMUSG00000008690	present
ENSMUSG00000008730	present
ENSMUSG00000008763	present
ENSMUSG00000008822	present
ENSMUSG00000008845	present
ENSMUSG00000008855	present
ENSMUSG00000008859	present
ENSMUSG00000008892	present
ENSMUSG00000008958	present
ENSMUSG00000008976	present
ENSMUSG00000009013	present
ENSMUSG00000009030	present
ENSMUSG00000009035	present
ENSMUSG00000009076	present
ENSMUSG00000009079	present
ENSMUSG00000009090	present
ENSMUSG00000009092	present
ENSMUSG00000009112	present
ENSMUSG00000009207	present
ENSMUSG00000009281	present
ENSMUSG00000009291	present
ENSMUSG00000009293	present
ENSMUSG00000009376	present
ENSMUSG00000009378	present
ENSMUSG00000009470	present
ENSMUSG00000009535	present
ENSMUSG00000009549	present
ENSMUSG00000009555	present
ENSMUSG00000009563	present
ENSMUSG00000009566	present
