id	minimum_qValue	call
ENSMUSG00000002831	0.00163175156541751	absent
ENSMUSG00000002833	0.000261958393431715	absent
ENSMUSG00000002835	0.000711076836960381	absent
ENSMUSG00000002844	0.000534040428443111	absent
ENSMUSG00000002845	8.49948557401374e-05	present
ENSMUSG00000002846	1.66884478072192e-08	present
ENSMUSG00000002847	1.41651700590638e-05	present
ENSMUSG00000002870	0.00112838656355582	absent
ENSMUSG00000002871	7.80095762920636e-05	present
ENSMUSG00000002881	2.88917082926032e-09	present
ENSMUSG00000002885	0.000565839544372488	absent
ENSMUSG00000002897	0.00070879735190356	absent
ENSMUSG00000002900	0.000773975143240259	absent
ENSMUSG00000002908	0.00136586064663466	absent
ENSMUSG00000002910	9.60464367804159e-05	present
ENSMUSG00000002930	0.112477530900471	absent
ENSMUSG00000002944	9.59152537742702e-09	present
ENSMUSG00000002948	0.000302029438445694	absent
ENSMUSG00000002949	2.88917082926032e-09	present
ENSMUSG00000002957	1.58878330226678e-05	present
ENSMUSG00000002963	2.24767489707815e-09	present
ENSMUSG00000002968	0.00046790272809608	absent
ENSMUSG00000002980	0.000688723730591879	absent
ENSMUSG00000002981	2.24767489707815e-09	present
ENSMUSG00000002983	0.00273262847380917	absent
ENSMUSG00000002984	5.17676914061074e-05	present
ENSMUSG00000002985	1.25129366372533e-09	present
ENSMUSG00000002992	1.25129366372533e-09	present
ENSMUSG00000002996	2.24767489707815e-09	present
ENSMUSG00000002997	0.000756890984350064	absent
ENSMUSG00000003031	0.000511932814303689	absent
ENSMUSG00000003032	0.006340745817862	absent
ENSMUSG00000003033	0.000146233046298846	absent
ENSMUSG00000003037	2.88917082926032e-09	present
ENSMUSG00000003038	9.98650977976208e-09	present
ENSMUSG00000003039	1.66884478072192e-08	present
ENSMUSG00000003051	0.00211238408165887	absent
ENSMUSG00000003053	1.25129366372533e-09	present
ENSMUSG00000003062	1.66884478072192e-08	present
ENSMUSG00000003068	2.88917082926032e-09	present
ENSMUSG00000003070	0.00156620170365488	absent
ENSMUSG00000003072	2.14489325159581e-09	present
ENSMUSG00000003099	4.80873938478937e-06	present
ENSMUSG00000003119	0.000701331587972849	absent
ENSMUSG00000003123	0.000532643739467438	absent
ENSMUSG00000003131	2.88917082926032e-09	present
ENSMUSG00000003134	0.000463569679568573	absent
ENSMUSG00000003135	0.000694767128483787	absent
ENSMUSG00000003153	0.000760932157754068	absent
ENSMUSG00000003154	0.00302142005265935	absent
ENSMUSG00000003161	2.24767489707815e-09	present
ENSMUSG00000003166	0.00024903336355327	absent
ENSMUSG00000003184	2.88917082926032e-09	present
ENSMUSG00000003190	0.000772329999326202	absent
ENSMUSG00000003198	0.000679037665943381	absent
ENSMUSG00000003199	2.24767489707815e-09	present
ENSMUSG00000003200	0.000606083855042548	absent
ENSMUSG00000003206	0.000700291134262495	absent
ENSMUSG00000003208	0.0006804676819316	absent
ENSMUSG00000003226	1.81370661591218e-05	present
ENSMUSG00000003227	0.0697565570237991	absent
ENSMUSG00000003228	0.00265493710243837	absent
ENSMUSG00000003233	0.000819794074960737	absent
ENSMUSG00000003234	2.88917082926032e-09	present
ENSMUSG00000003235	8.14747063757213e-07	present
ENSMUSG00000003269	2.88917082926032e-09	present
ENSMUSG00000003271	0.0106111602571012	absent
ENSMUSG00000003273	0.00185392232376616	absent
ENSMUSG00000003279	0.00492518776498821	absent
ENSMUSG00000003282	0.00147189118928886	absent
ENSMUSG00000003283	0.0007750009108075	absent
ENSMUSG00000003299	9.38696858586132e-05	present
ENSMUSG00000003308	0.000476368930229633	absent
ENSMUSG00000003309	0.00434024612146387	absent
ENSMUSG00000003316	0.000534707095069793	absent
ENSMUSG00000003341	0.00385404526724172	absent
ENSMUSG00000003344	0.000460193069582947	absent
ENSMUSG00000003345	1.01534704291136e-06	present
ENSMUSG00000003346	1.66884478072192e-08	present
ENSMUSG00000003348	0.000469813428997926	absent
ENSMUSG00000003352	0.00136337698121866	absent
ENSMUSG00000003354	0.100315098369695	absent
ENSMUSG00000003355	1.66884478072192e-08	present
ENSMUSG00000003360	0.000227259555485318	absent
ENSMUSG00000003363	0.000447877554346308	absent
ENSMUSG00000003378	0.00103113475510383	absent
ENSMUSG00000003379	0.000669766395573548	absent
ENSMUSG00000003380	2.24767489707815e-09	present
