id	minimum_pValue	call
ENSMUSG00000001150	1.19538148505242e-07	present
ENSMUSG00000001151	1.09393251400348e-06	present
ENSMUSG00000001155	1.76939656829275e-16	present
ENSMUSG00000001156	5.66251766579935e-10	present
ENSMUSG00000001157	1.72208625083991e-06	present
ENSMUSG00000001158	7.90806209638346e-13	present
ENSMUSG00000001166	0.000466712857888711	absent
ENSMUSG00000001168	0.557447673082169	absent
ENSMUSG00000001173	3.98058343368992e-05	present
ENSMUSG00000001175	3.06176808694952e-16	present
ENSMUSG00000001211	9.10431722469931e-14	present
ENSMUSG00000001225	0.0242236535618112	absent
ENSMUSG00000001227	0.000214032556242742	absent
ENSMUSG00000001228	2.41327960035294e-11	present
ENSMUSG00000001229	1.97320122840429e-09	present
ENSMUSG00000001240	6.33826321640914e-09	present
ENSMUSG00000001247	1.32671037500926e-13	present
ENSMUSG00000001248	7.02350102250465e-08	present
ENSMUSG00000001249	7.64428530935692e-19	present
ENSMUSG00000001260	0.514241665743955	absent
ENSMUSG00000001270	1.65270286780617e-09	present
ENSMUSG00000001280	9.07094352592258e-07	present
ENSMUSG00000001281	5.05961133957575e-06	present
ENSMUSG00000001285	4.53206451056656e-10	present
ENSMUSG00000001288	2.01366236536534e-05	present
ENSMUSG00000001289	2.89816056859299e-18	present
ENSMUSG00000001300	0.000148871645790951	absent
ENSMUSG00000001305	2.5560389698267e-09	present
ENSMUSG00000001313	1.70545813991356e-09	present
ENSMUSG00000001323	1.5933962013236e-12	present
ENSMUSG00000001333	0.0924897321081222	absent
ENSMUSG00000001334	0.00350223887019592	absent
ENSMUSG00000001348	1.19486080096687e-13	present
ENSMUSG00000001349	0.000158579211494024	absent
ENSMUSG00000001366	1.38241058924515e-12	present
ENSMUSG00000001376	7.26931665707957e-07	present
ENSMUSG00000001380	2.44467869753121e-11	present
ENSMUSG00000001383	6.10120037840768e-10	present
ENSMUSG00000001403	7.08820189598053e-17	present
ENSMUSG00000001415	3.4899027295733e-09	present
ENSMUSG00000001416	3.11019794038834e-13	present
ENSMUSG00000001418	1.33876051664994e-14	present
ENSMUSG00000001419	2.66088358838907e-09	present
ENSMUSG00000001420	0.000141824150585524	absent
ENSMUSG00000001424	2.07446781913533e-13	present
ENSMUSG00000001435	4.6024798970082e-16	present
ENSMUSG00000001436	3.5342082657149e-08	present
ENSMUSG00000001440	7.6537147586431e-11	present
ENSMUSG00000001441	1.76501517104738e-08	present
ENSMUSG00000001444	0.209964011704431	absent
ENSMUSG00000001445	3.30130798795414e-10	present
ENSMUSG00000001467	6.88322995987266e-16	present
ENSMUSG00000001472	4.45411297897524e-12	present
ENSMUSG00000001473	1.09804210315026e-09	present
ENSMUSG00000001482	1.06877694060766e-08	present
ENSMUSG00000001493	0.00679741635791237	absent
ENSMUSG00000001494	0.561422193791816	absent
ENSMUSG00000001496	0.379875067023846	absent
ENSMUSG00000001497	0.0747540200524205	absent
ENSMUSG00000001504	0.0024367086881824	absent
ENSMUSG00000001506	1.13288397112175e-10	present
ENSMUSG00000001507	6.1489732715071e-05	present
ENSMUSG00000001508	0.00222927262784011	absent
ENSMUSG00000001510	0.0436678418377133	absent
ENSMUSG00000001517	1.56718497555831e-07	present
ENSMUSG00000001518	1.33068129777422e-08	present
ENSMUSG00000001520	0.000111093033342727	absent
ENSMUSG00000001521	0.000190420694627032	absent
ENSMUSG00000001524	3.40491907008917e-08	present
ENSMUSG00000001525	7.44074486858883e-15	present
ENSMUSG00000001542	6.20561906576127e-11	present
ENSMUSG00000001552	3.90704486234804e-10	present
ENSMUSG00000001555	1.29290732928581e-06	present
ENSMUSG00000001558	0.00899001532929614	absent
ENSMUSG00000001566	0.363439404048492	absent
ENSMUSG00000001569	5.75360105769523e-08	present
ENSMUSG00000001576	3.93738609493639e-11	present
ENSMUSG00000001583	0.000233846322742631	absent
ENSMUSG00000001588	1.22277807872686e-05	present
ENSMUSG00000001604	3.6905637270275e-11	present
ENSMUSG00000001622	0.161213478094348	absent
ENSMUSG00000001627	1.77541234572419e-10	present
ENSMUSG00000001630	8.50272992505402e-07	present
ENSMUSG00000001632	1.14752989745105e-06	present
ENSMUSG00000001642	2.80908854998189e-09	present
