id	minimum_qValue	call
ENSG00000005007	3.22646415883658e-11	present
ENSG00000005020	3.22646415883658e-11	present
ENSG00000005022	3.22646415883658e-11	present
ENSG00000005059	9.20114191420608e-11	present
ENSG00000005073	0.0362212322931233	absent
ENSG00000005075	3.22646415883658e-11	present
ENSG00000005100	1.31214089614916e-09	present
ENSG00000005102	0.000112537246757761	absent
ENSG00000005108	3.22646415883658e-11	present
ENSG00000005156	3.22646415883658e-11	present
ENSG00000005175	3.22646415883658e-11	present
ENSG00000005187	3.22646415883658e-11	present
ENSG00000005189	6.28851472425618e-09	present
ENSG00000005194	3.22646415883658e-11	present
ENSG00000005206	3.22646415883658e-11	present
ENSG00000005238	9.20114191420608e-11	present
ENSG00000005243	9.20114191420608e-11	present
ENSG00000005249	1.01250004310783e-09	present
ENSG00000005302	3.22646415883658e-11	present
ENSG00000005339	3.22646415883658e-11	present
ENSG00000005379	3.22646415883658e-11	present
ENSG00000005381	2.40484481241095e-09	present
ENSG00000005421	0.00051627907388525	absent
ENSG00000005436	3.22646415883658e-11	present
ENSG00000005448	3.22646415883658e-11	present
ENSG00000005469	3.22646415883658e-11	present
ENSG00000005471	0.00149210187652305	absent
ENSG00000005483	3.22646415883658e-11	present
ENSG00000005486	3.22646415883658e-11	present
ENSG00000005513	0.0019216971596717	absent
ENSG00000005700	3.22646415883658e-11	present
ENSG00000005801	3.22646415883658e-11	present
ENSG00000005810	3.22646415883658e-11	present
ENSG00000005812	3.22646415883658e-11	present
ENSG00000005844	3.53953942126559e-11	present
ENSG00000005882	3.22646415883658e-11	present
ENSG00000005884	3.22646415883658e-11	present
ENSG00000005889	3.22646415883658e-11	present
ENSG00000005893	3.22646415883658e-11	present
ENSG00000005961	2.40484481241095e-09	present
ENSG00000005981	0.000213124375318646	absent
ENSG00000006007	3.22646415883658e-11	present
ENSG00000006015	9.20114191420608e-11	present
ENSG00000006016	3.22646415883658e-11	present
ENSG00000006025	9.20114191420608e-11	present
ENSG00000006042	3.22646415883658e-11	present
ENSG00000006047	0.00249477904519191	absent
ENSG00000006059	0.276659004621344	absent
ENSG00000006062	1.31214089614916e-09	present
ENSG00000006071	2.75955956444511e-05	present
ENSG00000006116	0.26520567308107	absent
ENSG00000006118	3.22646415883658e-11	present
ENSG00000006125	3.22646415883658e-11	present
ENSG00000006128	0.00181389992268942	absent
ENSG00000006194	3.22646415883658e-11	present
ENSG00000006210	3.53953942126559e-11	present
ENSG00000006282	3.22646415883658e-11	present
ENSG00000006283	0.000201971881537651	absent
ENSG00000006327	3.53953942126559e-11	present
ENSG00000006377	0.0320071673078281	absent
ENSG00000006432	7.18080575203221e-05	absent
ENSG00000006451	3.22646415883658e-11	present
ENSG00000006453	3.22646415883658e-11	present
ENSG00000006459	1.01250004310783e-09	present
ENSG00000006468	3.22646415883658e-11	present
ENSG00000006530	3.22646415883658e-11	present
ENSG00000006534	3.53953942126559e-11	present
ENSG00000006555	5.5922576816441e-05	absent
ENSG00000006576	3.22646415883658e-11	present
ENSG00000006606	0.000380129728236934	absent
ENSG00000006607	3.22646415883658e-11	present
ENSG00000006611	0.00181694045042453	absent
ENSG00000006625	3.22646415883658e-11	present
ENSG00000006634	3.22646415883658e-11	present
ENSG00000006638	9.33260432807556e-08	present
ENSG00000006652	3.22646415883658e-11	present
ENSG00000006659	0.010520427248967	absent
ENSG00000006695	6.28851472425618e-09	present
ENSG00000006704	1.01250004310783e-09	present
ENSG00000006712	3.22646415883658e-11	present
ENSG00000006715	3.22646415883658e-11	present
ENSG00000006740	9.20114191420608e-11	present
ENSG00000006744	3.22646415883658e-11	present
ENSG00000006747	1.31214089614916e-09	present
ENSG00000006756	3.22646415883658e-11	present
ENSG00000006757	9.20114191420608e-11	present
ENSG00000006788	0.0291418714044968	absent
ENSG00000006831	3.22646415883658e-11	present
ENSG00000006837	4.56617456967554e-07	present
ENSG00000007001	0.0046679136673635	absent
ENSG00000007038	1.31214089614916e-09	present
ENSG00000007047	3.22646415883658e-11	present
ENSG00000007062	1.01250004310783e-09	present
ENSG00000007080	9.20114191420608e-11	present
ENSG00000007129	1.31214089614916e-09	present
ENSG00000007168	3.22646415883658e-11	present
ENSG00000007171	4.97243583027452e-06	present
ENSG00000007174	1.18450900134771e-09	present
ENSG00000007202	3.22646415883658e-11	present
ENSG00000007216	0.0047623397116427	absent
ENSG00000007237	3.22646415883658e-11	present
ENSG00000007255	9.20114191420608e-11	present
ENSG00000007264	1.31214089614916e-09	present
ENSG00000007306	0.0205235106998226	absent
ENSG00000007312	1.80073273381693e-09	present
ENSG00000007314	0.00907280759153703	absent
ENSG00000007341	3.22646415883658e-11	present
ENSG00000007350	7.98767667841499e-06	present
ENSG00000007372	0.010777323120565	absent
ENSG00000007376	1.80073273381693e-09	present
ENSG00000007384	3.53953942126559e-11	present
ENSG00000007392	3.22646415883658e-11	present
ENSG00000007402	3.53953942126559e-11	present
ENSG00000007516	1.31214089614916e-09	present
ENSG00000007520	9.20114191420608e-11	present
ENSG00000007541	3.53953942126559e-11	present
ENSG00000007545	9.20114191420608e-11	present
ENSG00000007866	9.20114191420608e-11	present
ENSG00000007908	2.40484481241095e-09	present
ENSG00000007923	3.22646415883658e-11	present
ENSG00000007933	6.5799807214347e-10	present
ENSG00000007944	3.22646415883658e-11	present
ENSG00000007952	0.000286832734339794	absent
ENSG00000007968	0.000510355143929882	absent
ENSG00000008018	3.22646415883658e-11	present
ENSG00000008056	2.13930241196437e-05	present
ENSG00000008083	1.31214089614916e-09	present
ENSG00000008086	1.01250004310783e-09	present
ENSG00000008118	0.000136499432494825	absent
ENSG00000008128	3.22646415883658e-11	present
ENSG00000008130	3.22646415883658e-11	present
ENSG00000008196	0.0403045475094127	absent
ENSG00000008197	0.176497645509973	absent
