id	minimum_pValue	call
ENSG00000008324	1.28715038079686e-13	present
ENSG00000008382	7.14122543254424e-13	present
ENSG00000008394	8.32411135990277e-25	present
ENSG00000008405	6.49271813888056e-15	present
ENSG00000008438	3.65152110879931e-08	present
ENSG00000008441	6.74656685285176e-20	present
ENSG00000008513	3.71863566397645e-19	present
ENSG00000008516	2.0535076078043e-12	present
ENSG00000008517	2.53548176072372e-28	present
ENSG00000008710	6.31630952446624e-18	present
ENSG00000008735	0.000350023095773742	present
ENSG00000008838	3.91321451055816e-18	present
ENSG00000008853	1.0837847534391e-18	present
ENSG00000008869	1.78911322166342e-14	present
ENSG00000008952	3.88265536020799e-31	present
ENSG00000008988	1.17227650048932e-55	present
ENSG00000009307	3.16202027451619e-37	present
ENSG00000009335	9.54208704696746e-18	present
ENSG00000009413	1.60454938324699e-20	present
ENSG00000009694	0.000880375968535034	present
ENSG00000009709	0.937808541825854	absent
ENSG00000009724	2.86142886031382e-07	present
ENSG00000009765	6.78699063362157e-07	present
ENSG00000009780	9.08549092726244e-12	present
ENSG00000009790	1.07470484764014e-18	present
ENSG00000009830	7.78061376954945e-13	present
ENSG00000009844	1.12343860299797e-15	present
ENSG00000009950	7.08941079423932e-10	present
ENSG00000009954	7.75235869934167e-16	present
ENSG00000010017	1.87635953197342e-14	present
ENSG00000010030	6.42100208915334e-10	present
ENSG00000010072	1.09071205435849e-09	present
ENSG00000010165	1.01553473739786e-13	present
ENSG00000010219	1.85720783008327e-16	present
ENSG00000010244	6.74404622701761e-25	present
ENSG00000010256	1.85977190065738e-21	present
ENSG00000010270	5.29223867648889e-18	present
ENSG00000010278	3.49434410423829e-32	present
ENSG00000010282	1.70817668291075e-07	present
ENSG00000010292	2.47753408795604e-14	present
ENSG00000010295	5.39070650835727e-15	present
ENSG00000010310	6.16997821616283e-11	present
ENSG00000010318	3.42627009354881e-12	present
ENSG00000010319	1.41166869165244e-16	present
ENSG00000010322	1.84485724267186e-19	present
ENSG00000010327	7.18038108902345e-18	present
ENSG00000010361	5.89377020772964e-13	present
ENSG00000010379	3.8891341002947e-10	present
ENSG00000010404	5.53407280288325e-20	present
ENSG00000010438	0.00131524132266151	present
ENSG00000010539	6.12368431604896e-10	present
ENSG00000010610	1.17370744215436e-20	present
ENSG00000010626	1.19722142151484e-18	present
ENSG00000010671	8.11524226314017e-15	present
ENSG00000010704	8.46999262371667e-12	present
ENSG00000010803	4.14852362216024e-15	present
ENSG00000010810	1.21565597041448e-27	present
ENSG00000010818	2.20315885465731e-13	present
ENSG00000010932	2.27982777512517e-08	present
ENSG00000011007	4.46689970125324e-16	present
ENSG00000011009	4.14414262831799e-17	present
ENSG00000011021	8.88368212479517e-13	present
ENSG00000011028	6.39218111204121e-19	present
ENSG00000011052	8.05480918362345e-14	present
ENSG00000011083	0.0489613042084226	absent
ENSG00000011105	1.58258602664586e-16	present
ENSG00000011114	8.6252774763131e-12	present
ENSG00000011132	8.90941684791124e-13	present
ENSG00000011143	1.9819171054066e-11	present
ENSG00000011198	1.02337827564077e-14	present
ENSG00000011201	2.31288935960235e-20	present
ENSG00000011243	6.84152020435525e-19	present
ENSG00000011258	1.92273181775389e-11	present
ENSG00000011260	2.71565994538909e-15	present
ENSG00000011275	9.67620070733854e-16	present
ENSG00000011295	9.51713083480281e-17	present
ENSG00000011304	6.46590508646506e-22	present
ENSG00000011332	0.000224939603081556	present
ENSG00000011347	4.89518480984234e-06	present
ENSG00000011376	1.73658282677515e-10	present
ENSG00000011405	3.64587265111046e-22	present
ENSG00000011422	2.08258282887447e-19	present
ENSG00000011426	3.01868352163066e-11	present
ENSG00000011451	3.95256349791493e-13	present
ENSG00000011454	1.81152482583138e-18	present
ENSG00000011465	3.93079817841001e-57	present
ENSG00000011478	1.6992092182926e-10	present
ENSG00000011485	1.1799577018776e-16	present
ENSG00000011523	9.15664668599044e-12	present
ENSG00000011566	1.39576473745056e-18	present
