id	minimum_pValue	call
FBgn0001185	0.00307554905417842	present
FBgn0001186	1.64493090929891e-07	present
FBgn0001187	2.04411734355661e-05	present
FBgn0001189	3.09562184414015e-05	present
FBgn0001197	1.14506039119448e-10	present
FBgn0001202	6.33231321633488e-05	present
FBgn0001206	0.000975112834095507	present
FBgn0001208	0.00425817942650694	present
FBgn0001215	3.43823736080534e-13	present
FBgn0001216	1.52883661250085e-10	present
FBgn0001217	1.16272143739527e-13	present
FBgn0001218	1.57526861666327e-12	present
FBgn0001220	4.8219633727468e-12	present
FBgn0001222	1.71933814270447e-05	present
FBgn0001223	3.61676851381828e-05	present
FBgn0001224	2.80933396319324e-10	present
FBgn0001225	1.97083026361153e-12	present
FBgn0001226	8.85665797507266e-16	present
FBgn0001227	2.184037325658e-07	present
FBgn0001228	5.72316884878881e-11	present
FBgn0001229	0.0059134550245827	present
FBgn0001230	3.58773845001286e-10	present
FBgn0001233	7.57059358216884e-18	present
FBgn0001234	4.31991661193597e-06	present
FBgn0001235	0.0209798136091995	absent
FBgn0001247	1.13750801319241e-06	present
FBgn0001248	2.96007641928832e-13	present
FBgn0001250	0.00652830875795598	present
FBgn0001253	0.602154792953568	absent
FBgn0001254	0.0187825136184777	absent
FBgn0001255	0.00816490331593803	present
FBgn0001256	0.395368880718576	absent
FBgn0001257	5.48458952647876e-05	present
FBgn0001258	4.00660508225254e-08	present
FBgn0001259	0.226482334724803	absent
FBgn0001263	0.142457773677304	absent
FBgn0001269	0.00564242716937616	present
FBgn0001276	0.00689040348480588	present
FBgn0001280	5.62697782677745e-13	present
FBgn0001281	1.11591931769624e-15	present
FBgn0001285	0.000324369827055203	present
FBgn0001291	3.75703749706923e-09	present
FBgn0001296	0.000849698605245816	present
FBgn0001297	8.21707115923494e-05	present
FBgn0001301	5.06799954180444e-05	present
FBgn0001308	3.27267650951029e-06	present
FBgn0001311	0.00589980944235112	present
FBgn0001313	0.0010028276050184	present
FBgn0001316	7.26342354378066e-05	present
FBgn0001319	0.734172358563032	absent
FBgn0001320	0.0307008104682933	absent
FBgn0001321	0.00618484864347405	present
FBgn0001323	0.0946557069732594	absent
FBgn0001324	1.39222130867089e-07	present
FBgn0001325	0.0262936498014162	absent
FBgn0001330	0.0070560535144509	present
FBgn0001341	0.000181649468011003	present
FBgn0001404	2.29166613082462e-05	present
FBgn0001491	1.89983147975399e-09	present
FBgn0001565	0.000483466599047163	present
FBgn0001612	0.000266270602174034	present
FBgn0001624	0.000406960944918467	present
FBgn0001941	2.55344744388972e-08	present
FBgn0001942	3.18746177028763e-13	present
FBgn0001961	4.35644873871477e-10	present
FBgn0001965	0.000238258169214681	present
FBgn0001967	0.00378407535247458	present
FBgn0001970	5.40907089189408e-06	present
FBgn0001977	7.58065815433074e-10	present
FBgn0001978	8.11934047401726e-08	present
FBgn0001981	0.00118799400793894	present
FBgn0001983	0.365013711008161	absent
FBgn0001986	3.04223902413177e-05	present
FBgn0001987	0.00308239826344958	present
FBgn0001989	1.36980057308622e-08	present
FBgn0001990	0.000143674660092784	present
FBgn0001991	0.000320056249285554	present
FBgn0001992	0.0215650753614852	absent
FBgn0001994	0.000381331319562315	present
FBgn0001995	3.0080611253842e-06	present
FBgn0002021	5.02568600020133e-07	present
FBgn0002022	4.86661766251059e-08	present
FBgn0002023	1.18855587873682e-05	present
FBgn0002031	2.17024252963754e-09	present
FBgn0002036	1.98608627415896e-10	present
FBgn0002044	3.97705166921528e-06	present
