#libraryId	max_intergenic	cutoffTPM	cutoffGenicTPM	cutoffFPKM	cutoffGenicFPKM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	ratioIntergenicCodingPresent	species	organism
SRX198172	5617379.35700498	0.298279	0.299970202934082	0.25375455100588	0.258608396902788	37.9151215492377	23005	60675	77.9683244224755	15458	19826	3.89178595177265	1112	28573	0.05	9606	Homo sapiens
SRX199071	5617379.35700498	0.4170605	0.433837936280031	0.323958566585959	0.352235827974741	37.5920889987639	22809	60675	76.7729244426511	15221	19826	3.83578903160326	1096	28573	0.05	9606	Homo sapiens
SRX198971	5617379.35700498	0.184463	0.185593519796722	0.166815369986934	0.169972019837608	37.1405026782035	22535	60675	77.4286290729345	15351	19826	3.87428691421972	1107	28573	0.05	9606	Homo sapiens
SRX199532	5617379.35700498	0.2450317	0.246290464445959	0.210765990605086	0.214460960803789	37.8426040379069	22961	60675	77.5950771713911	15384	19826	3.87778672173031	1108	28573	0.05	9606	Homo sapiens
SRX198284	5617379.35700498	0.1553078	0.156926584635675	0.262860210837376	0.276226092068038	38.8545529460239	23575	60675	78.4928881267023	15562	19826	3.92678402687852	1122	28573	0.05	9606	Homo sapiens
SRX199708	5617379.35700498	0.2771737	0.284249168320376	0.225165445341054	0.23791141837763	36.7350638648537	22289	60675	76.097044285282	15087	19826	3.80779057151857	1088	28573	0.05	9606	Homo sapiens
SRX199131	5617379.35700498	0.3972428	0.401089747538511	0.300543816907765	0.30863819189388	37.4157395962093	22702	60675	76.9847674770503	15263	19826	3.84278864662444	1098	28573	0.05	9606	Homo sapiens
SRX222676	5617379.35700498	0.3763406162915	0.378258729268439	0.32743844747527	0.333890440147913	35.8368355995056	21744	60675	75.9205084232826	15052	19826	3.79379134147622	1084	28573	0.05	9606	Homo sapiens
SRX204066	5617379.35700498	0.570002	0.600882573320407	0.413077288224613	0.453533255015164	35.1067161104244	21301	60675	74.7351962070009	14817	19826	3.73779442130683	1068	28573	0.05	9606	Homo sapiens
SRX221594	5617379.35700498	0.316548	0.318755928562692	0.280415945446808	0.287202860737082	37.3877214668315	22685	60675	77.0604257036215	15278	19826	3.84628845413502	1099	28573	0.05	9606	Homo sapiens
SRX222521	5617379.35700498	0.53235	0.535970493162288	0.402129730412092	0.41244519521983	37.5887927482489	22807	60675	76.1273075759104	15093	19826	3.80779057151857	1088	28573	0.05	9606	Homo sapiens
SRX222346	5617379.35700498	0.197201	0.198189424012805	0.192781943600462	0.196699320644159	39.3358055212196	23867	60675	79.3402602642994	15730	19826	3.96878171700557	1134	28573	0.05	9606	Homo sapiens
SRX261371	5617379.35700498	0.275588	0.278172693539287	0.247860486658481	0.255339130131134	37.5294602389782	22771	60675	77.5597699989912	15377	19826	3.88128652924089	1109	28573	0.05	9606	Homo sapiens
SRX261396	5617379.35700498	0.2122462	0.214079460708032	0.205124484527689	0.210713587951138	38.3106716110424	23245	60675	77.8119640875618	15427	19826	3.89178595177265	1112	28573	0.05	9606	Homo sapiens
SRX408371	5617379.35700498	0.291074	0.293109917069522	0.259764608561476	0.266269756579573	37.7849196538937	22926	60675	77.1461716937355	15295	19826	3.85678787666678	1102	28573	0.05	9606	Homo sapiens
SRX413320	5617379.35700498	0.279795	0.281291741912992	0.252388046372777	0.257556068086036	37.4470539761022	22721	60675	77.2420054473923	15314	19826	3.84278864662444	1098	28573	0.05	9606	Homo sapiens
SRX602220	5617379.35700498	0.1896123	0.191115782555739	0.193953100507986	0.199401547379562	37.6744952616399	22859	60675	77.0553818218501	15277	19826	3.8532880691562	1101	28573	0.05	9606	Homo sapiens
SRX605727	5617379.35700498	0.471779	0.476246992631843	0.366478941030976	0.37765712208545	37.1718170580964	22554	60675	75.9911227680823	15066	19826	3.80079095649739	1086	28573	0.05	9606	Homo sapiens
SRX624218	5617379.35700498	0.1121506	0.11274697807011	0.118153089840528	0.120420708496461	37.4783683559951	22740	60675	76.9696358317361	15260	19826	3.84978826164561	1100	28573	0.05	9606	Homo sapiens
SRX583577	5617379.35700498	0.1250194	0.125714953378868	0.139282446478264	0.142237075824567	37.4932014833127	22749	60675	77.3176636739635	15329	19826	3.86728729919854	1105	28573	0.05	9606	Homo sapiens
SRX570914	5617379.35700498	0.384383	0.386995568660478	0.325551040747727	0.333988932864949	37.8178821590441	22946	60675	77.0553818218501	15277	19826	3.8532880691562	1101	28573	0.05	9606	Homo sapiens
SRX631664	5617379.35700498	0.0981171	0.0987000816437337	0.106261333899342	0.108255113681586	38.3255047383601	23254	60675	77.8220518511046	15429	19826	3.88828614426207	1111	28573	0.05	9606	Homo sapiens
SRX588118	5617379.35700498	0.0855957	0.0859868910955776	0.0992002296423949	0.100830086252477	37.5723114956737	22797	60675	77.2268738020781	15311	19826	3.86378749168796	1104	28573	0.05	9606	Homo sapiens
SRX578591	5617379.35700498	0.30663	0.309107997786024	0.276563078266517	0.284412774486674	37.04985578904	22480	60675	76.6014324624231	15187	19826	3.82178980156091	1092	28573	0.05	9606	Homo sapiens
SRX583204	5617379.35700498	0.3130612	0.315278733585845	0.281286338488915	0.288736158666501	37.9414915533581	23021	60675	77.3227075557349	15330	19826	3.86728729919854	1105	28573	0.05	9606	Homo sapiens
SRX629866	5617379.35700498	0.09163733	0.0920363949374218	0.102091183811016	0.103787414596647	40.5274000824063	24590	60675	80.0262281852113	15866	19826	3.9862807545585	1139	28573	0.05	9606	Homo sapiens
SRX622592	5617379.35700498	0.1566445	0.158451100711572	0.140422150361496	0.144899497255042	38.360115368768	23275	60675	79.3957429637849	15741	19826	3.97228152451615	1135	28573	0.05	9606	Homo sapiens
SRX606986	5617379.35700498	0.388094	0.391325952313181	0.327505290638925	0.337107601990985	37.6481252575196	22843	60675	76.6468273983658	15196	19826	3.82878941658209	1094	28573	0.05	9606	Homo sapiens
SRX594592	5617379.35700498	0.337824	0.340769243727958	0.308910565432593	0.31879374875331	38.3436341161928	23265	60675	78.5483708261878	15573	19826	3.93028383438911	1123	28573	0.05	9606	Homo sapiens
SRX559231	5617379.35700498	0.248155	0.250841927299152	0.228571809424861	0.236061425743932	37.0613926658426	22487	60675	76.8384949056794	15234	19826	3.84278864662444	1098	28573	0.05	9606	Homo sapiens
SRX580543	5617379.35700498	0.246135	0.248152070650561	0.244623561121767	0.251856849925686	36.463123197363	22124	60675	75.9154645415111	15051	19826	3.79729114898681	1085	28573	0.05	9606	Homo sapiens
SRX636588	5617379.35700498	0.351912	0.354450038373668	0.292189731250864	0.299567364884232	37.5953852492789	22811	60675	77.3176636739635	15329	19826	3.86378749168796	1104	28573	0.05	9606	Homo sapiens
SRX591987	5617379.35700498	0.379026	0.382632138497762	0.307628821688586	0.317066337604105	37.8442521631644	22962	60675	77.655603752648	15396	19826	3.88478633675148	1110	28573	0.05	9606	Homo sapiens
SRX567776	5617379.35700498	0.1426325	0.143417708748162	0.155584892331399	0.158927620625269	37.1207251751133	22523	60675	77.030162412993	15272	19826	3.84628845413502	1099	28573	0.05	9606	Homo sapiens
SRX571766	5617379.35700498	0.457322	0.461616057342172	0.347877877190778	0.358382046450735	36.926246394726	22405	60675	76.1121759305962	15090	19826	3.80779057151857	1088	28573	0.05	9606	Homo sapiens
SRX630826	5617379.35700498	0.431126	0.434995090781965	0.340098058742185	0.350316652477007	38.8512566955089	23573	60675	78.2053868657319	15505	19826	3.89528575928324	1113	28573	0.05	9606	Homo sapiens
SRX579321	5617379.35700498	0.41114066	0.415690229265628	0.353734132843053	0.366812610468645	38.6765554182118	23467	60675	77.8069202057904	15426	19826	3.88478633675148	1110	28573	0.05	9606	Homo sapiens
SRX572086	5617379.35700498	0.1613852	0.16242926860443	0.171526819773672	0.175451770278534	37.097651421508	22509	60675	76.2029658024816	15108	19826	3.81129037902915	1089	28573	0.05	9606	Homo sapiens
SRX606203	5617379.35700498	0.27407669	0.27643137101454	0.274651621121014	0.283279418547586	39.0045323444582	23666	60675	77.8119640875618	15427	19826	3.88828614426207	1111	28573	0.05	9606	Homo sapiens
SRX605422	5617379.35700498	0.2026772	0.204837122651996	0.179862308109557	0.185394076340215	37.7305315203956	22893	60675	77.373146373449	15340	19826	3.87078710670913	1106	28573	0.05	9606	Homo sapiens
SRX581006	5617379.35700498	0.1784476329	0.179765534307643	0.188800972992048	0.193199243655364	39.6538936959209	24060	60675	78.255825683446	15515	19826	3.89178595177265	1112	28573	0.05	9606	Homo sapiens
SRX618705	5617379.35700498	0.113789	0.114662525305968	0.12106168988807	0.123962914173623	37.1718170580964	22554	60675	77.0856451124786	15283	19826	3.8532880691562	1101	28573	0.05	9606	Homo sapiens
SRX562580	5617379.35700498	0.17335976	0.174988373728798	0.180410365059948	0.186078554061853	36.7152863617635	22277	60675	76.4148088368809	15150	19826	3.82178980156091	1092	28573	0.05	9606	Homo sapiens
SRX584078	5617379.35700498	0.310178	0.312854627151802	0.287635648220162	0.296669473525938	37.0168932838896	22460	60675	75.9356400685968	15055	19826	3.78679172645505	1082	28573	0.05	9606	Homo sapiens
SRX623720	5617379.35700498	0.1596344	0.160732126428953	0.173384995168653	0.177829988071246	37.2723526988051	22615	60675	76.7678805608796	15220	19826	3.82878941658209	1094	28573	0.05	9606	Homo sapiens
SRX596002	5617379.35700498	0.298576	0.301508805098479	0.264398444230984	0.272554671882465	37.2311495673671	22590	60675	76.3895894280238	15145	19826	3.82178980156091	1092	28573	0.05	9606	Homo sapiens
SRX590611	5617379.35700498	0.2951368	0.298861066642498	0.278674556589688	0.289576461356972	37.6184590028842	22825	60675	76.5610814082518	15179	19826	3.8252896090715	1093	28573	0.05	9606	Homo sapiens
SRX628715	5617379.35700498	0.401633	0.404689444487471	0.344380213160546	0.353989252661929	36.6872682323857	22260	60675	75.6884898617976	15006	19826	3.78329191894446	1081	28573	0.05	9606	Homo sapiens
SRX633457	5617379.35700498	0.556137	0.563138607538506	0.416567110921949	0.432540247388156	37.1536876802637	22543	60675	75.9911227680823	15066	19826	3.79729114898681	1085	28573	0.05	9606	Homo sapiens
SRX633279	5617379.35700498	0.10940307	0.109843885294417	0.116259342879416	0.11806495453947	35.6258755665431	21616	60675	75.3354181377989	14936	19826	3.75529345885976	1073	28573	0.05	9606	Homo sapiens
SRX631053	5617379.35700498	0.3719465	0.375768528598388	0.302131561708507	0.311714857512121	38.0057684384013	23060	60675	77.5749016443055	15380	19826	3.88128652924089	1109	28573	0.05	9606	Homo sapiens
SRX591543	5617379.35700498	0.2629773	0.265316601464846	0.223161836845142	0.229411932008126	37.4107952204368	22699	60675	76.4501160092807	15157	19826	3.81828999405033	1091	28573	0.05	9606	Homo sapiens
SRX585266	5617379.35700498	0.488829	0.492929334744655	0.378465900442589	0.391035810844132	39.5797280593325	24015	60675	77.7766569151619	15420	19826	3.88478633675148	1110	28573	0.05	9606	Homo sapiens
SRX603725	5617379.35700498	0.430441	0.43378554512887	0.307355800993379	0.31505238756936	39.4478780387309	23935	60675	78.1145969938465	15487	19826	3.89878556679383	1114	28573	0.05	9606	Homo sapiens
SRX600894	5617379.35700498	0.300603	0.304886228563746	0.260523329240044	0.271241263151753	36.7845076225793	22319	60675	75.7591042065974	15020	19826	3.78679172645505	1082	28573	0.05	9606	Homo sapiens
SRX563201	5617379.35700498	0.346132	0.348813983199947	0.281826105844195	0.289021714499381	36.5405850844664	22171	60675	75.8902451326541	15046	19826	3.79029153396563	1083	28573	0.05	9606	Homo sapiens
SRX567458	5617379.35700498	0.513952	0.52275662759368	0.391564719708256	0.410427889783692	36.9542645241038	22422	60675	75.128618985171	14895	19826	3.75879326637035	1074	28573	0.05	9606	Homo sapiens
SRX568451	5617379.35700498	0.3237700764	0.328795492188012	0.265402872318759	0.277162341330242	39.3489905232798	23875	60675	77.4538484817916	15356	19826	3.87428691421972	1107	28573	0.05	9606	Homo sapiens
SRX600636	5617379.35700498	0.36717	0.372552735501119	0.319850978292966	0.334184498640121	37.1174289245983	22521	60675	75.7641480883688	15021	19826	3.78679172645505	1082	28573	0.05	9606	Homo sapiens
SRX563708	5617379.35700498	0.5023363	0.512225106209132	0.388214541627489	0.409299520913592	39.2665842604038	23825	60675	76.8536265509937	15237	19826	3.84278864662444	1098	28573	0.05	9606	Homo sapiens
SRX637249	5617379.35700498	0.219658974211	0.222680432571859	0.215682985141075	0.223550122827911	38.5925010300783	23416	60675	77.3277514375063	15331	19826	3.86728729919854	1105	28573	0.05	9606	Homo sapiens
SRX618856	5617379.35700498	0.234928049	0.237793491603291	0.219927372208465	0.228083282174903	38.6337041615163	23441	60675	77.0705134671643	15280	19826	3.85678787666678	1102	28573	0.05	9606	Homo sapiens
SRX560814	5617379.35700498	0.4186458	0.423639630362604	0.343012900461342	0.355599850961776	36.6773794808405	22254	60675	75.4463835367699	14958	19826	3.76929268890211	1077	28573	0.05	9606	Homo sapiens
SRX592458	5617379.35700498	0.4319898	0.438036917752312	0.342325061035884	0.35575342849021	37.0103007828595	22456	60675	75.4362957732271	14956	19826	3.7727924964127	1078	28573	0.05	9606	Homo sapiens
SRX570624	5617379.35700498	0.361563	0.368280056941452	0.314430599336459	0.331220891543343	37.8046971569839	22938	60675	76.6518712801372	15197	19826	3.83578903160326	1096	28573	0.05	9606	Homo sapiens
SRX592916	5617379.35700498	0.431984	0.437462340247878	0.335746162573142	0.348449274058977	38.4491141326741	23329	60675	77.2520932109351	15316	19826	3.86028768417737	1103	28573	0.05	9606	Homo sapiens
SRX600817	5617379.35700498	0.3549227	0.361497216228099	0.308745895708139	0.325139790088152	36.926246394726	22405	60675	75.2849793200847	14926	19826	3.75179365134918	1072	28573	0.05	9606	Homo sapiens
SRX562615	5617379.35700498	0.27725	0.281994265771373	0.258136653266756	0.271443102204289	38.4359291306139	23321	60675	77.1915666296782	15304	19826	3.8532880691562	1101	28573	0.05	9606	Homo sapiens
SRX588028	5617379.35700498	0.416022	0.422432503217687	0.335309228886916	0.350515830413005	38.613926658426	23429	60675	77.5143750630485	15368	19826	3.87778672173031	1108	28573	0.05	9606	Homo sapiens
SRX636774	5617379.35700498	0.444507	0.451471108371202	0.355999141823474	0.372326936135823	36.6295838483725	22225	60675	75.3505497831131	14939	19826	3.76929268890211	1077	28573	0.05	9606	Homo sapiens
SRX606863	5617379.35700498	0.073306	0.0739386933859939	0.0886300591978512	0.0911840895928545	35.4165636588381	21489	60675	74.4678704731161	14764	19826	3.72379519126448	1064	28573	0.05	9606	Homo sapiens
SRX632283	5617379.35700498	0.353778555461	0.36105860984973	0.31851654496483	0.337842287637287	37.6184590028842	22825	60675	76.6922223343085	15205	19826	3.83228922409267	1095	28573	0.05	9606	Homo sapiens
SRX571903	5617379.35700498	0.244222	0.247148311877194	0.253278782702073	0.263940084653183	37.0135970333745	22458	60675	75.9003328961969	15048	19826	3.79729114898681	1085	28573	0.05	9606	Homo sapiens
SRX199702	5617379.35700498	0.495644	0.498847671482642	0.346813626483509	0.35452484047738	37.7997527812114	22935	60675	77.2117421567638	15308	19826	3.86028768417737	1103	28573	0.05	9606	Homo sapiens
SRX198273	5617379.35700498	0.510717	0.516760448841095	0.368307111604753	0.380398066137304	38.8446641944788	23569	60675	77.9683244224755	15458	19826	3.89178595177265	1112	28573	0.05	9606	Homo sapiens
SRX198152	5617379.35700498	0.311242	0.318543732600731	0.25123814832706	0.26515098712284	37.0234857849197	22464	60675	77.2823565015636	15322	19826	3.8532880691562	1101	28573	0.05	9606	Homo sapiens
SRX199409	5617379.35700498	0.2599102	0.26578695144504	0.256303630303892	0.272485641361434	39.1660486196951	23764	60675	78.5735902350449	15578	19826	3.93028383438911	1123	28573	0.05	9606	Homo sapiens
SRX261759	5617379.35700498	0.24109	0.242895999276283	0.226679238575762	0.232307890113721	37.7140502678204	22883	60675	76.8788459598507	15242	19826	3.83578903160326	1096	28573	0.05	9606	Homo sapiens
SRX199602	5617379.35700498	0.466097	0.469095848746108	0.347681200833425	0.355436254112755	38.0832303255047	23107	60675	78.170079693332	15498	19826	3.89528575928324	1113	28573	0.05	9606	Homo sapiens
SRX199722	5617379.35700498	0.373102	0.385127622897284	0.32083622793815	0.344531652088338	41.0383189122373	24900	60675	80.5558357712095	15971	19826	4.02477863717496	1150	28573	0.05	9606	Homo sapiens
SRX199521	5617379.35700498	0.416618	0.420367738538298	0.318220226907455	0.326795961718383	36.9559126493614	22423	60675	76.7023100978513	15207	19826	3.83578903160326	1096	28573	0.05	9606	Homo sapiens
SRX221507	5617379.35700498	0.598207	0.601364933629947	0.437068881200831	0.446983531004424	36.929542645241	22407	60675	75.7691919701402	15022	19826	3.79029153396563	1083	28573	0.05	9606	Homo sapiens
SRX198194	5617379.35700498	0.480753	0.483826646582124	0.330866961280037	0.337934086707833	37.7437165224557	22901	60675	77.3277514375063	15331	19826	3.86728729919854	1105	28573	0.05	9606	Homo sapiens
SRX223336	5617379.35700498	0.403014	0.404750463316051	0.336825462177626	0.343219332977465	36.5949732179646	22204	60675	76.1373953394532	15095	19826	3.79029153396563	1083	28573	0.05	9606	Homo sapiens
SRX204103	5617379.35700498	0.334445	0.343290510078189	0.282813750073429	0.299602174546344	34.144210960033	20717	60675	76.2029658024816	15108	19826	3.80779057151857	1088	28573	0.05	9606	Homo sapiens
SRX203591	5617379.35700498	0.6427556	0.66110436861974	0.39420887259633	0.414844059635748	36.7202307375361	22280	60675	77.1108645213356	15288	19826	3.85678787666678	1102	28573	0.05	9606	Homo sapiens
SRX204031	5617379.35700498	0.397923	0.412644621175656	0.344599063537198	0.374083751692392	38.8034610630408	23544	60675	78.2306062745889	15510	19826	3.91278479683617	1118	28573	0.05	9606	Homo sapiens
SRX261818	5617379.35700498	0.160039	0.161494299960481	0.17251217209702	0.177604081410331	37.8426040379069	22961	60675	77.3327953192777	15332	19826	3.85678787666678	1102	28573	0.05	9606	Homo sapiens
SRX222852	5617379.35700498	0.341585	0.343346623897809	0.294255914246292	0.300541079841084	39.7379480840544	24111	60675	80.5205285988096	15964	19826	4.02477863717496	1150	28573	0.05	9606	Homo sapiens
SRX223140	5617379.35700498	0.537757	0.540271177022687	0.394065528117076	0.402115033205911	34.4639472599918	20911	60675	73.8676485423182	14645	19826	3.69579673117979	1056	28573	0.05	9606	Homo sapiens
SRX222213	5617379.35700498	0.456216	0.45866082740006	0.347351945391479	0.354636568106309	37.3267408323033	22648	60675	76.3694139009382	15141	19826	3.79729114898681	1085	28573	0.05	9606	Homo sapiens
SRX223497	5617379.35700498	0.2781147	0.279508138366676	0.253322836854999	0.258544179012316	39.1479192418624	23753	60675	79.0376273580147	15670	19826	3.95478248696322	1130	28573	0.05	9606	Homo sapiens
SRX221719	5617379.35700498	0.390621	0.392095255803524	0.344076017734039	0.350955496576594	37.3333333333333	22652	60675	78.9014425501866	15643	19826	3.94778287194204	1128	28573	0.05	9606	Homo sapiens
SRX262003	5617379.35700498	0.382988	0.386514304177386	0.307486628370402	0.316749548254077	38.1458590852905	23145	60675	77.7262180974478	15410	19826	3.88128652924089	1109	28573	0.05	9606	Homo sapiens
SRX261493	5617379.35700498	0.491189	0.49593190840142	0.381633049292679	0.394104855591792	37.6530696332921	22846	60675	76.2887117925956	15125	19826	3.80779057151857	1088	28573	0.05	9606	Homo sapiens
SRX261238	5617379.35700498	0.4356435	0.439986047261731	0.34724107503065	0.358444790154174	37.7717346518335	22918	60675	76.5812569353374	15183	19826	3.83228922409267	1095	28573	0.05	9606	Homo sapiens
SRX408111	5617379.35700498	0.2649003	0.266649885632499	0.241727050648977	0.247320199339141	37.938195302843	23019	60675	77.7009986885907	15405	19826	3.88478633675148	1110	28573	0.05	9606	Homo sapiens
SRX628631	5617379.35700498	0.3421137	0.346032654466246	0.312315167937356	0.324325678348016	39.0721054800165	23707	60675	78.0288510037325	15470	19826	3.90228537430441	1115	28573	0.05	9606	Homo sapiens
SRX636611	5617379.35700498	0.484802	0.491418278443294	0.378429050832737	0.394061881291328	37.7733827770911	22919	60675	76.1979219207102	15107	19826	3.81129037902915	1089	28573	0.05	9606	Homo sapiens
SRX588913	5617379.35700498	0.329965	0.332591829853582	0.305124094935105	0.314316684295103	37.6679027606098	22855	60675	76.7981438515081	15226	19826	3.83928883911385	1097	28573	0.05	9606	Homo sapiens
SRX641186	5617379.35700498	0.254842	0.257576204554545	0.250648455015971	0.259581555778686	37.4734239802225	22737	60675	76.6569151619086	15198	19826	3.8252896090715	1093	28573	0.05	9606	Homo sapiens
SRX617046	5617379.35700498	0.323353	0.326090936609954	0.288947843981533	0.297515968815866	37.8327152863618	22955	60675	76.6871784525371	15204	19826	3.83578903160326	1096	28573	0.05	9606	Homo sapiens
SRX596513	5617379.35700498	0.175535	0.176463047732985	0.183893214623384	0.187514880101778	37.1817058096415	22560	60675	76.8082316150509	15228	19826	3.84278864662444	1098	28573	0.05	9606	Homo sapiens
SRX568058	5617379.35700498	0.164756	0.165675844780328	0.173393429183929	0.176940920468723	38.1705809641533	23160	60675	78.0540704125895	15475	19826	3.905785181815	1116	28573	0.05	9606	Homo sapiens
SRX568312	5617379.35700498	0.1378423	0.139067655883338	0.152009467411603	0.15639496027328	37.2805933250927	22620	60675	77.4437607182488	15354	19826	3.86028768417737	1103	28573	0.05	9606	Homo sapiens
SRX558810	5617379.35700498	0.3877484	0.390523257809695	0.314736026914977	0.322614877878787	38.4276885043263	23316	60675	78.3617472006456	15536	19826	3.91978441185735	1120	28573	0.05	9606	Homo sapiens
SRX559976	5617379.35700498	0.18022	0.181460313252327	0.184729043357834	0.189267786214419	38.1771734651834	23164	60675	78.0288510037325	15470	19826	3.89878556679383	1114	28573	0.05	9606	Homo sapiens
SRX613840	5617379.35700498	0.274021	0.276979117630133	0.207131553215349	0.212830729823648	38.445817882159	23327	60675	78.0994653485322	15484	19826	3.905785181815	1116	28573	0.05	9606	Homo sapiens
SRX614785	5617379.35700498	0.265893	0.267984842411859	0.229144925643229	0.234922462345302	37.2047795632468	22574	60675	76.5106425905377	15169	19826	3.82878941658209	1094	28573	0.05	9606	Homo sapiens
SRX563109	5617379.35700498	0.39762	0.400762088381268	0.356119527958956	0.366583473109735	37.9711578079934	23039	60675	77.887622314133	15442	19826	3.89528575928324	1113	28573	0.05	9606	Homo sapiens
