#libraryId	max_intergenic	cutoffTPM	cutoffGenicTPM	cutoffFPKM	cutoffGenicFPKM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	ratioIntergenicCodingPresent	species	organism
SRX196369	9.1946242	2	2.06128375556625	1.3277801361553	1.50335968546728	44.267955801105	10897	24616	53.7461238371512	10746	19994	10.3193978232123	2029	19662	0	9913	Bos taurus
SRX196370	9.1946242	2	2.06078733826679	1.04386122070736	1.15514801196236	53.8105297367566	13246	24616	65.4396318895669	13084	19994	12.8979757908656	2536	19662	0	9913	Bos taurus
SRX211579	9.1946242	2	2.0298802265623	1.3644829044011	1.46295221367856	42.8989275268118	10560	24616	50.2350705211563	10044	19994	5.05035093072933	993	19662	0	9913	Bos taurus
SRX211580	9.1946242	2	2.03717509683571	1.43062449171547	1.56947302364356	45.8563535911602	11288	24616	53.3960188056417	10676	19994	6.65242599938969	1308	19662	0	9913	Bos taurus
SRX211629	9.1946242	2	2.03621197594321	2.04597979704526	2.29799467138381	50.8896652583685	12527	24616	58.9876963088927	11794	19994	7.1457634014851	1405	19662	0	9913	Bos taurus
SRX211630	9.1946242	2	2.04865906676669	1.55148558165685	1.75900552010738	53.7130321741956	13222	24616	62.0036010803241	12397	19994	9.37341063981284	1843	19662	0	9913	Bos taurus
SRX211674	9.1946242	2	2.07449239013116	1.31745673154082	1.56285680182222	55.8092297692558	13738	24616	64.4243272981895	12881	19994	11.7994100294985	2320	19662	0	9913	Bos taurus
SRX211675	9.1946242	2	2.07314280320364	1.29754478718573	1.54565089714605	56.6217094572636	13938	24616	65.5246573972192	13101	19994	12.5063574407487	2459	19662	0	9913	Bos taurus
SRX211582	0.78893396	2	2.0270483122667	1.53067864659338	1.63323625933307	43.340113913751	10653	24580	50.8964544721998	10106	19856	6.35095044500604	1156	18202	0	9615	Canis lupus familiaris
SRX211583	0.78893396	2	2.02642603460753	1.50157512528668	1.59981132168752	43.1977217249797	10618	24580	50.6547139403707	10058	19856	6.04878584770904	1101	18202	0	9615	Canis lupus familiaris
SRX211632	0.78893396	2	2.02679053046202	2.00961819744866	2.18721553497148	46.5785191212368	11449	24580	54.7240128928284	10866	19856	6.61465772991979	1204	18202	0	9615	Canis lupus familiaris
SRX211633	0.78893396	2	2.02634200474399	2.12720458536845	2.33069589375855	46.1757526444264	11350	24580	54.2556406124094	10773	19856	6.66410284584112	1213	18202	0	9615	Canis lupus familiaris
SRX211677	0.78893396	2	2.06002766494015	1.352465344138	1.5529040419316	55.5329536208299	13650	24580	65.2598710717164	12958	19856	11.1141632787606	2023	18202	0	9615	Canis lupus familiaris
SRX211678	0.78893396	2	2.05865724689535	1.39138555864455	1.60172163665538	55	13519	24580	64.7814262691378	12863	19856	10.9163828150753	1987	18202	0	9615	Canis lupus familiaris
SRX211586	3.249105	2	2.02756527075195	2.99758785605801	3.50216732575352	40.0471471951414	10023	25028	50.115139506239	9358	18673	5.63428293158023	1157	20535	0	10141	Cavia porcellus
SRX211587	3.249105	2	2.0226754919088	3.31600538877785	3.81253242877678	37.8655905385968	9477	25028	48.4175012049483	9041	18673	4.73825176527879	973	20535	0	10141	Cavia porcellus
SRX211588	3.249105	2	2.02233020572992	3.59999795304995	4.15163682721537	36.7588301102765	9200	25028	46.7252182295293	8725	18673	4.45580715850986	915	20535	0	10141	Cavia porcellus
SRX211636	3.249105	2	2.048269589874	3.02524135785465	3.84350330157657	46.1722870385169	11556	25028	57.9339152787447	10818	18673	8.58047236425615	1762	20535	0	10141	Cavia porcellus
SRX211637	3.249105	2	2.04687484279192	2.93013758890133	3.67183492682554	45.7167971871504	11442	25028	57.8589407165426	10804	18673	8.20550280009739	1685	20535	0	10141	Cavia porcellus
SRX211638	3.249105	2	2.05227459239677	2.8131300668671	3.58590327537022	46.4000319642001	11613	25028	58.4748031917742	10919	18673	9.18431945458972	1886	20535	0	10141	Cavia porcellus
SRX211681	3.249105	2	2.06762040651038	2.42746747497836	3.31489086809595	52.6969793830909	13189	25028	65.0886306431746	12154	18673	12.291210129048	2524	20535	0	10141	Cavia porcellus
SRX211682	3.249105	2	2.06913062696259	2.47838125606572	3.39425704390142	52.1096372063289	13042	25028	64.4513468644567	12035	18673	12.0574628682737	2476	20535	0	10141	Cavia porcellus
SRX211683	3.249105	2	2.07443057859351	2.25446992736623	3.07331499865519	53.3642320600927	13356	25028	65.9133508273978	12308	18673	13.036279522766	2677	20535	0	10141	Cavia porcellus
SRX211589	2.0713532	2	2.02575727503504	2.17677530197891	2.41835886252374	38.1793931310437	10305	26991	48.202846104944	9857	20449	5.33003223244733	1141	21407	0	9796	Equus caballus
SRX211590	2.0713532	2	2.03075077209332	2.18584511845779	2.45595761523832	39.1834315142084	10576	26991	49.1417673235855	10049	20449	5.72242724342505	1225	21407	0	9796	Equus caballus
SRX211591	2.0713532	2	2.0334339124858	1.97829702142197	2.22276873763764	40.3393723833871	10888	26991	51.1712064159617	10464	20449	6.46984631195403	1385	21407	0	9796	Equus caballus
SRX211639	2.0713532	2	2.05091676032954	2.4705454707514	2.94564319337488	45.7152384128043	12339	26991	57.9930558951538	11859	20449	8.77283131685897	1878	21407	0	9796	Equus caballus
SRX211640	2.0713532	2	2.05382983660261	2.16237209504664	2.59274287218473	47.2601978437257	12756	26991	59.8953494058389	12248	20449	9.76316158265988	2090	21407	0	9796	Equus caballus
SRX211641	2.0713532	2	2.05137840553565	2.33532768662328	2.78887404311865	46.0820273424475	12438	26991	58.3549317815052	11933	20449	9.22595412715467	1975	21407	0	9796	Equus caballus
SRX211684	2.0713532	2	2.07556301330001	1.82383418642359	2.35299668648958	49.2127005298062	13283	26991	61.7096190522764	12619	20449	11.9680478348204	2562	21407	0	9796	Equus caballus
SRX211685	2.0713532	2	2.06711828178976	1.93445914747413	2.43329924501317	48.4198436515876	13069	26991	61.0934520025429	12493	20449	10.9029756621666	2334	21407	0	9796	Equus caballus
SRX211592	1.2415913	2	2.02132728190778	2.61894034894219	2.89207198738188	41.789914468995	9381	22448	57.5303061434148	8400	14601	16.1961367013373	872	5384	0	9365	Erinaceus europaeus
SRX211593	1.2415913	2	2.02325415061887	2.45537314139586	2.71959486347518	41.6028153955809	9339	22448	57.2084103828505	8353	14601	18.3878157503715	990	5384	0	9365	Erinaceus europaeus
SRX211642	1.2415913	2	2.03415489810805	2.70260575799779	3.0681688339224	49.9242694226657	11207	22448	67.9200054790768	9917	14601	30.8692421991085	1662	5384	0	9365	Erinaceus europaeus
SRX211643	1.2415913	2	2.04355131495646	2.62935314988235	3.11332694997021	50.9533143264433	11438	22448	68.7281693034724	10035	14601	38.4658246656761	2071	5384	0	9365	Erinaceus europaeus
SRX211686	1.2415913	2	2.04930558236556	3.11724202740625	3.83900034999261	51.8709907341411	11644	22448	70.2554619546606	10258	14601	35.9212481426449	1934	5384	0	9365	Erinaceus europaeus
SRX211687	1.2415913	2	2.04799120583758	3.39408025146655	4.25132848669537	53.1004989308624	11920	22448	70.4951715635915	10293	14601	37.481426448737	2018	5384	0	9365	Erinaceus europaeus
SRX211594	1.07275661	2	2.02493503640964	1.76869447971941	1.91061546916499	49.3513019643673	10803	21890	54.0809521366644	10542	19493	5.64200156722266	1008	17866	0	9685	Felis catus
SRX211595	1.07275661	2	2.02643416695575	1.69709285960138	1.84253051501562	48.8670625856556	10697	21890	53.4294362078695	10415	19493	6.21851561625434	1111	17866	0	9685	Felis catus
SRX211596	1.07275661	2	2.02453752940019	1.65910831003809	1.78397925855326	48.5153037916857	10620	21890	53.1524136869646	10361	19493	5.66998768610769	1013	17866	0	9685	Felis catus
SRX211644	1.07275661	2	2.02965233302468	1.93837190468969	2.15881316935137	55.427135678392	12133	21890	60.6730621248653	11827	19493	7.44430762341878	1330	17866	0	9685	Felis catus
SRX211645	1.07275661	2	2.03634869219756	2.07770819818594	2.34172780214838	52.8369118318867	11566	21890	57.9233571025496	11291	19493	7.51147430874286	1342	17866	0	9685	Felis catus
SRX211646	1.07275661	2	2.05157265702571	1.46917340687773	1.66343757198921	58.6203746002741	12832	21890	64.2743548966296	12529	19493	9.87350274263965	1764	17866	0	9685	Felis catus
SRX211688	1.07275661	2	2.05837660938984	1.54446722568263	1.82084222013986	63.0516217450891	13802	21890	68.9683476119633	13444	19493	10.9593641553789	1958	17866	0	9685	Felis catus
SRX211689	1.07275661	2	2.06318228509811	1.46596186374683	1.73804413077904	62.7044312471448	13726	21890	68.3835222900528	13330	19493	11.3119892533303	2021	17866	0	9685	Felis catus
SRX211690	1.07275661	2	2.05893813844602	1.51618503859195	1.7866824570696	62.243033348561	13625	21890	68.0346791155799	13262	19493	10.7578640994067	1922	17866	0	9685	Felis catus
SRX211611	0.8087548	2	2.03992317896285	1.22594538648142	1.32993251924202	43.8590561493937	10381	23669	50.9874047582025	9837	19293	7.11026615969582	1309	18410	0	9986	Oryctolagus cuniculus
SRX211612	0.8087548	2	2.03356490085218	1.3826832703892	1.48324211765027	41.8860112383286	9914	23669	48.940030062717	9442	19293	5.5024443237371	1013	18410	0	9986	Oryctolagus cuniculus
SRX211659	0.8087548	2	2.04294549349325	1.7513689388718	1.98177924427242	49.2162744518146	11649	23669	57.2435598403566	11044	19293	8.18033677349267	1506	18410	0	9986	Oryctolagus cuniculus
SRX211660	0.8087548	2	2.04119841211421	1.90485565787898	2.15066137984905	47.6952976467109	11289	23669	55.4605297258073	10700	19293	7.23519826181423	1332	18410	0	9986	Oryctolagus cuniculus
SRX211704	0.8087548	2	2.0765237136183	1.51146930178458	1.8125859831359	53.365161181292	12631	23669	61.2812937334785	11823	19293	10.8473655621945	1997	18410	0	9986	Oryctolagus cuniculus
SRX211705	0.8087548	2	2.05765478768933	1.65950959122969	1.93755035520161	53.9482022899151	12769	23669	62.2712901052195	12014	19293	9.26127104834329	1705	18410	0	9986	Oryctolagus cuniculus
SRX211621	1.3168664	2	2.04022370471872	1.45326713025374	1.56883717675557	46.4023378880025	11750	25322	52.0803443328551	11253	21607	4.00041082524521	779	19473	0	9823	Sus scrofa
SRX211622	1.3168664	2	2.04343456198781	1.40126518252471	1.51557461715291	47.1724192401864	11945	25322	52.9782015087703	11447	21607	4.41637138602167	860	19473	0	9823	Sus scrofa
SRX211668	1.3168664	2	2.04397814658356	1.88120764852296	2.0770318056603	48.1715504304557	12198	25322	54.3111028833248	11735	21607	4.13906434550403	806	19473	0	9823	Sus scrofa
SRX211669	1.3168664	2	2.03685256357309	2.12173208527395	2.35955191560302	48.3808545928442	12251	25322	53.9362243717314	11654	21607	4.13906434550403	806	19473	0	9823	Sus scrofa
SRX211713	1.3168664	2	2.05379392035488	1.50223867193579	1.71660042820948	58.4866914145802	14810	25322	65.5759707502198	14169	21607	7.44620756945514	1450	19473	0	9823	Sus scrofa
SRX211714	1.3168664	2	2.0647377009175	1.46461074387382	1.69375866406479	58.2457941710765	14749	25322	65.1548109408988	14078	21607	6.90186411955015	1344	19473	0	9823	Sus scrofa
SRX220648	1.3168664	2	2.01678634709173	2.30756221492293	2.46453532946129	42.2754916673249	10705	25322	47.1375017355487	10185	21607	2.76793508961126	539	19473	0	9823	Sus scrofa
SRX220649	1.3168664	2	2.0279407724344	1.67277273490582	1.78958619053591	43.0060816681147	10890	25322	48.1186652473735	10397	21607	3.69742720690186	720	19473	0	9823	Sus scrofa
