JH602043.1_14858514_14863533 JH602043.1+ 14858514-14863533	37.27
JH602043.1_15034372_15040364 JH602043.1- 15034372-15040364	38.70
JH602043.1_15045096_15046588 JH602043.1- 15045096-15046588	30.61
JH602043.1_15950149_15951749 JH602043.1+ 15950149-15951749	36.10
JH602043.1_15952226_15953375 JH602043.1- 15952226-15953375	37.91
JH602043.1_17182937_17202936 JH602043.1- 17182937-17202936	41.88
JH602043.1_18251316_18253832 JH602043.1+ 18251316-18253832	32.78
JH602043.1_18556427_18565607 JH602043.1- 18556427-18565607	46.68
JH602043.1_18759245_18775564 JH602043.1- 18759245-18775564	40.86
JH602043.1_19302724_19306909 JH602043.1- 19302724-19306909	37.72
JH602043.1_19528596_19534361 JH602043.1- 19528596-19534361	45.06
JH602043.1_19534462_19537643 JH602043.1- 19534462-19537643	44.85
JH602043.1_19750074_19751231 JH602043.1- 19750074-19751231	67.96
JH602043.1_26253585_26257108 JH602043.1- 26253585-26257108	34.14
JH602043.1_27304303_27306529 JH602043.1+ 27304303-27306529	33.36
JH602043.1_27863845_27877977 JH602043.1- 27863845-27877977	36.52
JH602043.1_28046168_28065921 JH602043.1+ 28046168-28065921	36.68
JH602043.1_28859283_28862155 JH602043.1+ 28859283-28862155	33.62
JH602043.1_29064734_29079698 JH602043.1+ 29064734-29079698	35.46
JH602043.1_29269282_29286457 JH602043.1+ 29269282-29286457	33.88
JH602043.1_30407238_30408506 JH602043.1+ 30407238-30408506	42.24
JH602043.1_30905598_30910494 JH602043.1+ 30905598-30910494	36.19
JH602043.1_31846387_31855491 JH602043.1+ 31846387-31855491	35.30
JH602043.1_34140095_34144011 JH602043.1+ 34140095-34144011	34.62
JH602043.1_34556578_34559935 JH602043.1+ 34556578-34559935	43.12
JH602043.1_34718243_34738242 JH602043.1+ 34718243-34738242	41.35
JH602043.1_36258037_36264190 JH602043.1- 36258037-36264190	34.97
JH602043.1_36400696_36404769 JH602043.1+ 36400696-36404769	33.70
JH602043.1_38178230_38180559 JH602043.1- 38178230-38180559	35.19
JH602043.1_38254765_38271700 JH602043.1- 38254765-38271700	36.99
JH602043.1_38978967_38996427 JH602043.1- 38978967-38996427	37.68
JH602043.1_43336558_43343636 JH602043.1+ 43336558-43343636	45.43
JH602043.1_45585061_45595282 JH602043.1+ 45585061-45595282	38.03
JH602043.1_48020548_48023477 JH602043.1+ 48020548-48023477	48.74
JH602043.1_48142512_48152913 JH602043.1- 48142512-48152913	35.40
JH602043.1_48938416_48950685 JH602043.1- 48938416-48950685	33.34
JH602043.1_54117386_54119722 JH602043.1+ 54117386-54119722	35.56
JH602043.1_56966638_56972996 JH602043.1+ 56966638-56972996	32.88
JH602043.1_57087531_57090916 JH602043.1- 57087531-57090916	39.46
JH602043.1_57154490_57161195 JH602043.1- 57154490-57161195	35.68
JH602043.1_57496267_57503802 JH602043.1- 57496267-57503802	37.87
JH602043.1_58433129_58435968 JH602043.1+ 58433129-58435968	34.75
JH602043.1_60661218_60676063 JH602043.1- 60661218-60676063	45.22
JH602043.1_60811498_60817583 JH602043.1- 60811498-60817583	43.51
JH602043.1_60900335_60903162 JH602043.1+ 60900335-60903162	41.62
JH602043.1_61009899_61015502 JH602043.1- 61009899-61015502	37.79
JH602043.1_61273667_61284833 JH602043.1- 61273667-61284833	45.54
JH602043.1_61495590_61506594 JH602043.1+ 61495590-61506594	40.76
JH602043.1_61761827_61780989 JH602043.1- 61761827-61780989	42.70
JH602043.1_61880256_61891110 JH602043.1+ 61880256-61891110	45.05
JH602043.1_61989403_62001779 JH602043.1- 61989403-62001779	43.86
JH602043.1_62604494_62608488 JH602043.1- 62604494-62608488	37.02
JH602043.1_62766890_62773591 JH602043.1- 62766890-62773591	35.14
JH602043.1_63575515_63595514 JH602043.1- 63575515-63595514	53.00
JH602043.1_66195628_66198165 JH602043.1- 66195628-66198165	35.86
JH602043.1_66350847_66370846 JH602043.1- 66350847-66370846	37.24
JH602043.1_69145755_69153579 JH602043.1- 69145755-69153579	53.80
JH602043.1_69562803_69563924 JH602043.1- 69562803-69563924	38.95
JH602043.1_70072845_70074542 JH602043.1- 70072845-70074542	41.81
JH602043.1_70080148_70089884 JH602043.1- 70080148-70089884	42.24
JH602043.1_71060143_71067611 JH602043.1- 71060143-71067611	47.50
JH602043.1_71146486_71151127 JH602043.1- 71146486-71151127	49.16
JH602043.1_71158927_71161145 JH602043.1+ 71158927-71161145	47.59
JH602043.1_71312943_71314343 JH602043.1+ 71312943-71314343	47.11
JH602043.1_71535334_71545439 JH602043.1- 71535334-71545439	56.52
