1_2824860_2827409 1+ 2824860-2827409	61.76
1_2911123_2931122 1+ 2911123-2931122	47.50
1_2938952_2955413 1+ 2938952-2955413	45.26
1_2963134_2969934 1- 2963134-2969934	47.80
1_2985270_2989459 1+ 2985270-2989459	51.24
1_3001932_3021931 1+ 3001932-3021931	40.10
1_3038141_3058140 1+ 3038141-3058140	43.30
1_3083002_3103001 1- 3083002-3103001	44.95
1_3497749_3517748 1- 3497749-3517748	39.97
1_3689195_3709194 1+ 3689195-3709194	38.80
1_3998539_4018538 1- 3998539-4018538	36.09
1_4281863_4301862 1+ 4281863-4301862	38.10
1_4341042_4361041 1+ 4341042-4361041	41.84
1_4551869_4571868 1+ 4551869-4571868	48.24
1_4929754_4939219 1+ 4929754-4939219	53.07
1_4948160_4967725 1- 4948160-4967725	51.89
1_6731382_6737599 1+ 6731382-6737599	49.87
1_7050875_7060690 1+ 7050875-7060690	46.88
1_7209024_7229023 1- 7209024-7229023	46.28
1_7250301_7270300 1+ 7250301-7270300	48.25
1_7323647_7339615 1- 7323647-7339615	48.96
1_7366022_7367603 1- 7366022-7367603	55.18
1_7489601_7509600 1+ 7489601-7509600	50.69
1_7534533_7554532 1- 7534533-7554532	51.37
1_7579755_7581262 1- 7579755-7581262	43.04
1_7613313_7622044 1- 7613313-7622044	46.09
1_7762232_7782231 1+ 7762232-7782231	48.77
1_7859190_7879189 1- 7859190-7879189	47.62
1_7935919_7955918 1- 7935919-7955918	46.54
1_8102757_8122756 1+ 8102757-8122756	49.72
1_8166882_8168386 1+ 8166882-8168386	46.45
1_8193293_8207584 1- 8193293-8207584	48.43
1_8221769_8241768 1- 8221769-8241768	43.27
1_8288569_8308568 1- 8288569-8308568	43.80
1_8333555_8348157 1+ 8333555-8348157	42.95
1_8355573_8356612 1+ 8355573-8356612	43.17
1_8369903_8389902 1+ 8369903-8389902	43.55
1_8547031_8555558 1- 8547031-8555558	47.54
1_8894413_8914412 1- 8894413-8914412	44.07
1_9003271_9014050 1- 9003271-9014050	40.47
1_9111095_9129834 1- 9111095-9129834	49.99
1_9247812_9267811 1- 9247812-9267811	45.89
1_9279204_9283365 1- 9279204-9283365	48.01
1_9297159_9317158 1- 9297159-9317158	46.98
1_9330083_9349794 1- 9330083-9349794	50.30
1_9631477_9651476 1- 9631477-9651476	44.23
1_9724757_9744756 1+ 9724757-9744756	54.96
1_9765209_9785208 1- 9765209-9785208	55.90
1_10239177_10259176 1+ 10239177-10259176	39.55
1_10277192_10292125 1+ 10277192-10292125	42.10
1_10380806_10400805 1- 10380806-10400805	42.25
1_10522743_10542742 1+ 10522743-10542742	41.54
1_10633763_10653762 1- 10633763-10653762	43.37
1_10703410_10723409 1- 10703410-10723409	41.64
1_10876443_10896442 1- 10876443-10896442	40.28
1_11209305_11229304 1+ 11209305-11229304	41.05
1_11523615_11543614 1- 11523615-11543614	39.44
1_12142517_12162516 1+ 12142517-12162516	42.77
1_12231884_12251883 1+ 12231884-12251883	44.25
1_12433038_12453037 1- 12433038-12453037	44.95
1_12496542_12516541 1- 12496542-12516541	37.93
1_12846601_12866600 1- 12846601-12866600	37.21
1_13094033_13114032 1+ 13094033-13114032	37.79
1_13251124_13271123 1- 13251124-13271123	40.72
1_13458789_13467000 1- 13458789-13467000	41.20
1_13548625_13568624 1- 13548625-13568624	39.55
1_13624885_13644884 1+ 13624885-13644884	39.80
1_13691925_13711924 1- 13691925-13711924	41.93
1_14202207_14216535 1- 14202207-14216535	48.84
1_14493864_14507101 1+ 14493864-14507101	40.86
1_14751814_14771813 1+ 14751814-14771813	40.67
1_15068951_15088950 1+ 15068951-15088950	43.94
1_15330468_15341137 1- 15330468-15341137	45.97
1_15622350_15642349 1+ 15622350-15642349	44.40
1_15696831_15714773 1- 15696831-15714773	46.53
1_15722324_15729600 1+ 15722324-15729600	48.51
1_15733962_15753961 1- 15733962-15753961	43.16
1_15812193_15832192 1+ 15812193-15832192	44.08
1_15968741_15988740 1- 15968741-15988740	47.51
1_16014605_16021883 1- 16014605-16021883	45.68
1_16031264_16042621 1+ 16031264-16042621	43.93
