id	SRX109278	SRX109279	SRX1720957	SRX1720958
FBgn0045471	0	0.242216413	0.501087815	0.722048701
FBgn0045473	0	0	0	0
FBgn0045474	0	0	0.064090538	0
FBgn0045476	0	0.991744083	4.367476286	3.731682725
FBgn0045477	0	0.187386504	0.136686353	0.19493234
FBgn0045478	0	0	0.088091811	0.051787935
FBgn0045479	3.358865361	2.043365822	0.960695446	1.118579631
FBgn0045482	0	0	0	0
FBgn0045483	0	0	0	0.081159825
FBgn0045485	0	0	0	0
FBgn0045486	0	0	0	0
FBgn0045487	0	0	0.282843486	0.252278863
FBgn0045495	0	0	0.204831788	0.124592113
FBgn0045497	0	0	0	0.0709211
FBgn0045498	0	0.243075715	0.080863263	0
FBgn0045500	0	0	0	0.175968415
FBgn0045501	0	0	0	0
FBgn0045502	0	0.193690025	0.238063781	0.301014568
FBgn0045759	2.134512713	0.961458094	1.243989696	1.015246845
FBgn0045761	1.418838187	2.674673372	2.039549319	1.651947721
FBgn0045770	657.8157264	880.1893463	1975.900395	2051.540724
FBgn0045800	0.325135169	0.786515695	20.33452311	21.30204747
FBgn0045823	339.0289393	1110.28286	63.13384304	46.91980149
FBgn0045827	512.6200237	667.3354251	2849.06666	2644.091518
FBgn0045842	203.9322033	219.6201393	220.3160454	243.5755897
FBgn0045843	37.12841398	31.99137667	21.9191553	20.52317062
FBgn0045852	1.053166336	5.630229225	4.257557753	3.711954987
FBgn0045862	10.77858874	30.81129188	7.801630305	5.281445885
FBgn0045866	139.3272736	80.71444853	142.8245317	127.6859038
FBgn0045980	0	0	0.181302737	0.182503344
FBgn0046113	21.32112913	13.42954507	4.972574497	5.567497606
FBgn0046114	683.9077903	683.838504	109.3479366	117.144117
FBgn0046214	136.2021436	185.2172618	110.35218	82.14629244
FBgn0046222	18.86114158	42.04637568	22.92457221	20.46423878
FBgn0046225	472.3576914	366.2474437	177.172702	199.3780385
FBgn0046247	64.30521985	93.12677827	70.3120954	66.0162723
FBgn0046253	0	0	0.03034306	0.082899554
FBgn0046258	1.828854106	4.791137638	5.66444883	4.771777567
FBgn0046294	2372.26428	4751.310143	6794.19616	6418.660485
FBgn0046296	7.233284157	3.144776124	5.707988681	4.944052696
FBgn0046297	648.8115015	726.5851648	3890.685443	3816.6207
FBgn0046301	31.12381074	38.37057078	26.72962747	24.71711194
FBgn0046302	68.88994066	41.46854853	40.44431669	39.6570995
FBgn0046323	0.516062386	4.013691147	18.17922654	11.91542173
FBgn0046332	101.9953814	180.9375539	317.7365755	339.6241358
FBgn0046685	8.03108757	4.459710497	5.34129474	4.094207332
FBgn0046687	1.894866229	5.671599899	4.365542666	3.873572112
FBgn0046689	0.134336078	0.648233593	0.065986166	0
