Chip.ID	Proportion_Coding_present_marginal
GSM107449	49.2630518717475
GSM107450	45.5531307705221
GSM50481	37.8162911611785
GSM50483	36.1987290583478
GSM50484	53.8186019641826
GSM50494	48.6192952050838
GSM50495	51.1149624494512
GSM50497	49.208549971115
GSM19023	62.5765453495089
GSM19024	62.6574234546505
GSM14620	54.6042749855575
GSM14621	56.1178509532062
GSM19251	52.1570109605313
GSM19252	47.4812375141731
GSM19253	57.7236650288861
GSM19254	56.6222126235085
GSM19255	58.7981210517791
GSM19256	58.3175854435506
GSM19257	67.0698126451056
GSM19258	64.0030235948383
GSM19259	71.0544786998542
GSM19260	61.0172236920253
GSM19261	66.2437233410723
GSM19262	65.6552022029048
GSM19221	63.495491604125
GSM19222	63.9058366178932
GSM19223	59.1814696830625
GSM19224	65.7577884563468
GSM19225	57.8532476648129
