Chip.ID	Proportion_Coding_present_marginal
GSM296694	35.2392143696492
GSM296695	28.2927648145039
GSM296696	29.0011750881316
GSM296697	35.2324995803257
GSM296698	39.6138996138996
GSM296699	34.0439818700688
GSM296704	38.3112304851435
GSM296705	42.0446533490012
GSM296706	43.3976833976834
GSM296707	46.5536343797213
GSM312780	55.6051703877791
GSM312785	63.3708242403895
GSM312947	58.7577639751553
GSM312951	61.8096357226792
GSM312952	58.8584858150076
GSM312953	62.3233171059258
GSM256959	45.267752224274
GSM256960	45.5329864025516
GSM256961	45.371831458788
GSM414569	62.0345811650159
GSM414570	56.2464327681719
GSM414617	66.1809635722679
GSM414618	62.7597784119523
GSM414521	53.9096860835991
GSM414522	56.219573610878
GSM414605	55.5245929158973
GSM414606	54.9001175088132
GSM414545	54.289071680376
GSM414546	55.6118851771026
