id	minimum_pValue	call	cutoff
ENSG00000009694	0.000778794	present	0.05
ENSG00000009709	0.937808542	absent	0.05
ENSG00000009724	2.62E-07	present	0.05
ENSG00000009765	5.97E-07	present	0.05
ENSG00000009780	8.04E-12	present	0.05
ENSG00000009790	9.51E-19	present	0.05
ENSG00000009830	6.88E-13	present	0.05
ENSG00000009844	9.94E-16	present	0.05
ENSG00000009950	6.52E-10	present	0.05
ENSG00000009954	6.86E-16	present	0.05
ENSG00000010017	1.66E-14	present	0.05
ENSG00000010030	5.84E-10	present	0.05
ENSG00000010072	9.65E-10	present	0.05
ENSG00000010165	9.34E-14	present	0.05
ENSG00000010219	1.71E-16	present	0.05
ENSG00000010244	5.97E-25	present	0.05
ENSG00000010256	1.65E-21	present	0.05
ENSG00000010270	4.68E-18	present	0.05
ENSG00000010278	3.09E-32	present	0.05
ENSG00000010282	1.51E-07	present	0.05
ENSG00000010292	2.19E-14	present	0.05
ENSG00000010295	4.77E-15	present	0.05
ENSG00000010310	5.46E-11	present	0.05
ENSG00000010318	3.14E-12	present	0.05
ENSG00000010319	1.25E-16	present	0.05
ENSG00000010322	1.63E-19	present	0.05
ENSG00000010327	6.35E-18	present	0.05
ENSG00000010361	5.21E-13	present	0.05
ENSG00000010379	3.55E-10	present	0.05
ENSG00000010404	4.90E-20	present	0.05
ENSG00000010438	0.001315241	present	0.05
ENSG00000010539	5.42E-10	present	0.05
ENSG00000010610	1.04E-20	present	0.05
ENSG00000010626	1.10E-18	present	0.05
ENSG00000010671	7.18E-15	present	0.05
ENSG00000010704	7.49E-12	present	0.05
ENSG00000010803	3.82E-15	present	0.05
ENSG00000010810	1.08E-27	present	0.05
ENSG00000010818	1.95E-13	present	0.05
ENSG00000010932	2.10E-08	present	0.05
ENSG00000011007	3.95E-16	present	0.05
ENSG00000011009	3.67E-17	present	0.05
ENSG00000011021	7.86E-13	present	0.05
ENSG00000011028	5.65E-19	present	0.05
ENSG00000011052	7.00E-14	present	0.05
ENSG00000011083	0.048961304	present	0.05
ENSG00000011105	1.40E-16	present	0.05
ENSG00000011114	7.63E-12	present	0.05
ENSG00000011132	7.88E-13	present	0.05
ENSG00000011143	1.82E-11	present	0.05
ENSG00000011198	9.05E-15	present	0.05
ENSG00000011201	2.13E-20	present	0.05
ENSG00000011243	6.05E-19	present	0.05
ENSG00000011258	1.77E-11	present	0.05
ENSG00000011260	2.40E-15	present	0.05
ENSG00000011275	8.56E-16	present	0.05
ENSG00000011295	8.42E-17	present	0.05
ENSG00000011304	5.72E-22	present	0.05
ENSG00000011332	0.000202446	present	0.05
ENSG00000011347	4.33E-06	present	0.05
ENSG00000011376	1.60E-10	present	0.05
ENSG00000011405	3.23E-22	present	0.05
ENSG00000011422	1.84E-19	present	0.05
ENSG00000011426	2.77E-11	present	0.05
ENSG00000011451	3.50E-13	present	0.05
ENSG00000011454	1.67E-18	present	0.05
ENSG00000011465	3.48E-57	present	0.05
ENSG00000011478	1.56E-10	present	0.05
ENSG00000011485	1.04E-16	present	0.05
ENSG00000011523	8.10E-12	present	0.05
ENSG00000011566	1.23E-18	present	0.05
ENSG00000011590	1.83E-08	present	0.05
ENSG00000011600	7.39E-28	present	0.05
ENSG00000011638	6.85E-15	present	0.05
ENSG00000011677	0.008718772	present	0.05
ENSG00000012048	6.34E-09	present	0.05
ENSG00000012061	5.16E-17	present	0.05
ENSG00000012124	2.61E-14	present	0.05
ENSG00000012171	6.11E-20	present	0.05
ENSG00000012174	8.37E-11	present	0.05
ENSG00000012211	2.35E-11	present	0.05
ENSG00000012223	3.77E-50	present	0.05
ENSG00000012232	3.76E-14	present	0.05
ENSG00000012504	0.000318281	present	0.05
ENSG00000012660	2.83E-24	present	0.05
ENSG00000012779	6.07E-23	present	0.05
ENSG00000012817	1.57E-17	present	0.05
ENSG00000012822	1.27E-22	present	0.05
ENSG00000012963	1.86E-13	present	0.05
ENSG00000012983	1.26E-16	present	0.05
ENSG00000013016	3.40E-11	present	0.05
ENSG00000013275	7.19E-18	present	0.05
ENSG00000013288	6.30E-15	present	0.05
ENSG00000013293	0.186692322	absent	0.05
ENSG00000013297	1.75E-11	present	0.05
ENSG00000013306	1.73E-19	present	0.05
ENSG00000013364	1.12E-23	present	0.05
ENSG00000013374	7.62E-23	present	0.05
ENSG00000013375	8.06E-18	present	0.05
ENSG00000013392	2.39E-08	present	0.05
ENSG00000013441	7.06E-33	present	0.05
ENSG00000013503	1.20E-09	present	0.05
ENSG00000013523	6.61E-13	present	0.05
ENSG00000013561	4.13E-17	present	0.05
ENSG00000013563	1.71E-15	present	0.05
ENSG00000013573	1.03E-14	present	0.05
ENSG00000013583	4.58E-19	present	0.05
ENSG00000013588	5.23E-27	present	0.05
ENSG00000013619	6.05E-08	present	0.05
ENSG00000013725	7.21E-14	present	0.05
ENSG00000013810	4.26E-13	present	0.05
ENSG00000014123	1.43E-14	present	0.05
ENSG00000014138	1.19E-11	present	0.05
ENSG00000014164	1.77E-11	present	0.05
ENSG00000014216	3.21E-21	present	0.05
ENSG00000014257	7.61E-11	present	0.05
ENSG00000014641	6.78E-24	present	0.05
ENSG00000014824	7.00E-18	present	0.05
ENSG00000014914	1.72E-12	present	0.05
ENSG00000014919	3.50E-13	present	0.05
ENSG00000015133	4.69E-18	present	0.05
ENSG00000015153	5.21E-15	present	0.05
ENSG00000015171	5.06E-20	present	0.05
ENSG00000015285	2.23E-17	present	0.05
ENSG00000015413	1.03E-05	present	0.05
ENSG00000015475	7.13E-15	present	0.05
ENSG00000015479	6.48E-32	present	0.05
ENSG00000015520	0.209976168	absent	0.05
ENSG00000015532	2.85E-12	present	0.05
ENSG00000015568	2.69E-23	present	0.05
ENSG00000015592	0.000918945	present	0.05
ENSG00000015676	1.11E-18	present	0.05
ENSG00000016082	0.03236624	present	0.05
ENSG00000016391	3.04E-08	present	0.05
ENSG00000016402	2.77E-11	present	0.05
ENSG00000016490	0.289302509	absent	0.05
ENSG00000016602	0.000387123	present	0.05
ENSG00000016864	1.00E-18	present	0.05
ENSG00000017260	7.41E-23	present	0.05
ENSG00000017427	1.08E-11	present	0.05
ENSG00000017483	1.91E-15	present	0.05
ENSG00000017797	8.54E-17	present	0.05
ENSG00000018189	6.56E-19	present	0.05
ENSG00000018236	4.47E-12	present	0.05
ENSG00000018280	1.58E-20	present	0.05
ENSG00000018408	3.02E-22	present	0.05
ENSG00000018510	5.49E-14	present	0.05
ENSG00000018607	0.079456734	absent	0.05
ENSG00000018610	4.59E-14	present	0.05
ENSG00000018625	1.12E-11	present	0.05
ENSG00000018699	4.93E-12	present	0.05
ENSG00000018869	1.24E-09	present	0.05
ENSG00000019102	3.96E-19	present	0.05
ENSG00000019144	1.76E-19	present	0.05
ENSG00000019169	2.22E-25	present	0.05
ENSG00000019186	3.70E-12	present	0.05
ENSG00000019485	1.36E-10	present	0.05
ENSG00000019505	0.000178067	present	0.05
ENSG00000019549	8.07E-14	present	0.05
ENSG00000019582	2.11E-56	present	0.05
ENSG00000019991	1.36E-13	present	0.05
ENSG00000019995	9.70E-12	present	0.05
ENSG00000020129	1.19E-11	present	0.05
ENSG00000020181	5.03E-13	present	0.05
ENSG00000020219	0.807042933	absent	0.05
ENSG00000020256	5.63E-11	present	0.05
ENSG00000020426	2.26E-17	present	0.05
ENSG00000020577	4.38E-13	present	0.05
ENSG00000020633	7.77E-14	present	0.05
ENSG00000020922	2.74E-13	present	0.05
ENSG00000021300	3.08E-14	present	0.05
ENSG00000021355	1.28E-22	present	0.05
ENSG00000021461	5.08E-05	present	0.05
ENSG00000021488	0.004798065	present	0.05
ENSG00000021574	8.49E-12	present	0.05
ENSG00000021645	6.02E-09	present	0.05
ENSG00000021762	4.26E-15	present	0.05
ENSG00000021776	2.28E-15	present	0.05
ENSG00000021826	3.17E-07	present	0.05
ENSG00000021852	1.80E-13	present	0.05
ENSG00000022267	6.90E-31	present	0.05
ENSG00000022277	3.48E-21	present	0.05
ENSG00000022355	0.000337135	present	0.05
ENSG00000022556	9.82E-12	present	0.05
ENSG00000022567	5.02E-11	present	0.05
ENSG00000022840	6.28E-27	present	0.05
ENSG00000022976	6.69E-12	present	0.05
ENSG00000023041	5.41E-17	present	0.05
ENSG00000023171	1.65E-08	present	0.05
ENSG00000023191	4.22E-24	present	0.05
ENSG00000023228	9.45E-19	present	0.05
ENSG00000023287	2.75E-15	present	0.05
ENSG00000023318	2.66E-15	present	0.05
ENSG00000023330	7.85E-19	present	0.05
ENSG00000023445	4.11E-23	present	0.05
ENSG00000023516	6.55E-17	present	0.05
ENSG00000023572	5.78E-13	present	0.05
ENSG00000023608	2.07E-10	present	0.05
ENSG00000023697	1.03E-16	present	0.05
ENSG00000023734	1.28E-20	present	0.05
ENSG00000023839	0.000655315	present	0.05
ENSG00000023892	2.80E-15	present	0.05
ENSG00000023902	1.54E-18	present	0.05
ENSG00000023909	1.42E-12	present	0.05
ENSG00000024048	2.57E-15	present	0.05
ENSG00000024422	1.39E-21	present	0.05
ENSG00000024526	3.24E-08	present	0.05
ENSG00000024862	9.64E-16	present	0.05
ENSG00000025039	1.64E-12	present	0.05
ENSG00000025156	4.22E-12	present	0.05
ENSG00000025293	1.59E-22	present	0.05
ENSG00000025423	4.00E-22	present	0.05
ENSG00000025434	4.91E-17	present	0.05
ENSG00000025708	6.95E-23	present	0.05
ENSG00000025770	1.39E-16	present	0.05
ENSG00000025772	7.43E-14	present	0.05
ENSG00000025796	2.42E-25	present	0.05
ENSG00000025800	2.41E-12	present	0.05
ENSG00000026025	1.23E-47	present	0.05
ENSG00000026036	8.25E-08	present	0.05
ENSG00000026103	2.84E-18	present	0.05
ENSG00000026297	7.95E-20	present	0.05
ENSG00000026508	1.44E-36	present	0.05
ENSG00000026559	0.000206101	present	0.05
ENSG00000026652	2.21E-09	present	0.05
ENSG00000026751	2.48E-15	present	0.05
ENSG00000026950	1.71E-21	present	0.05
ENSG00000027001	1.74E-11	present	0.05
ENSG00000027075	2.13E-27	present	0.05
ENSG00000027644	0.703693954	absent	0.05
ENSG00000027697	1.64E-28	present	0.05
ENSG00000027847	3.15E-14	present	0.05
ENSG00000027869	1.84E-10	present	0.05
ENSG00000028116	2.08E-14	present	0.05
ENSG00000028137	9.80E-18	present	0.05
ENSG00000028203	6.74E-21	present	0.05
ENSG00000028277	5.65E-11	present	0.05
ENSG00000028310	1.17E-15	present	0.05
ENSG00000028528	1.04E-22	present	0.05
ENSG00000028839	9.73E-19	present	0.05
ENSG00000029153	2.34E-08	present	0.05
ENSG00000029363	8.47E-30	present	0.05
ENSG00000029364	7.87E-16	present	0.05
ENSG00000029534	1.28E-05	present	0.05
ENSG00000029559	0.006366848	present	0.05
ENSG00000029639	4.45E-13	present	0.05
ENSG00000029725	1.58E-18	present	0.05
ENSG00000029993	1.27E-14	present	0.05
ENSG00000030066	1.02E-15	present	0.05
ENSG00000030110	2.11E-13	present	0.05
ENSG00000030304	8.39E-06	present	0.05
ENSG00000030419	2.69E-14	present	0.05
ENSG00000030582	2.94E-29	present	0.05
ENSG00000031003	5.52E-18	present	0.05
ENSG00000031081	3.78E-15	present	0.05
ENSG00000031691	5.06E-10	present	0.05
ENSG00000031698	2.60E-21	present	0.05
ENSG00000031823	1.58E-17	present	0.05
ENSG00000032219	6.39E-20	present	0.05
ENSG00000032389	9.58E-13	present	0.05
ENSG00000032444	3.70E-20	present	0.05
ENSG00000032742	7.84E-13	present	0.05
ENSG00000033011	7.16E-14	present	0.05
ENSG00000033030	1.08E-13	present	0.05
ENSG00000033050	2.24E-11	present	0.05
ENSG00000033100	1.12E-14	present	0.05
ENSG00000033122	1.48E-08	present	0.05
ENSG00000033170	1.94E-14	present	0.05
ENSG00000033178	7.25E-18	present	0.05
ENSG00000033327	1.62E-14	present	0.05
ENSG00000033627	1.16E-18	present	0.05
ENSG00000033800	6.96E-20	present	0.05
ENSG00000033867	1.99E-17	present	0.05
ENSG00000034053	1.17E-08	present	0.05
ENSG00000034152	3.37E-17	present	0.05
ENSG00000034239	6.79E-16	present	0.05
ENSG00000034510	3.14E-54	present	0.05
ENSG00000034533	1.82E-10	present	0.05
ENSG00000034677	2.07E-23	present	0.05
ENSG00000034693	2.18E-13	present	0.05
ENSG00000034713	7.07E-24	present	0.05
ENSG00000034971	1.77E-09	present	0.05
ENSG00000035115	5.14E-19	present	0.05
ENSG00000035141	2.32E-14	present	0.05
ENSG00000035403	1.08E-19	present	0.05
ENSG00000035499	1.36E-07	present	0.05
ENSG00000035664	1.78E-17	present	0.05
ENSG00000035681	7.73E-19	present	0.05
ENSG00000035687	1.87E-17	present	0.05
ENSG00000035720	1.66E-06	present	0.05
ENSG00000035862	2.54E-25	present	0.05
ENSG00000035928	1.88E-21	present	0.05
ENSG00000036054	8.28E-15	present	0.05
ENSG00000036257	3.44E-20	present	0.05
ENSG00000036448	1.23E-16	present	0.05
ENSG00000036473	4.02E-07	present	0.05
ENSG00000036530	1.45E-07	present	0.05
ENSG00000036549	6.42E-16	present	0.05
ENSG00000036565	0.006227967	present	0.05
ENSG00000036672	3.95E-09	present	0.05
ENSG00000036828	0.413984995	absent	0.05
ENSG00000037042	1.38E-14	present	0.05
ENSG00000037241	1.07E-15	present	0.05
ENSG00000037280	9.90E-16	present	0.05
ENSG00000037474	3.14E-17	present	0.05
ENSG00000037637	1.44E-12	present	0.05
ENSG00000037749	2.93E-16	present	0.05
ENSG00000037757	2.56E-15	present	0.05
ENSG00000037897	4.90E-13	present	0.05
ENSG00000037965	0.001402527	present	0.05
ENSG00000038002	2.58E-15	present	0.05
ENSG00000038210	3.19E-14	present	0.05
ENSG00000038219	3.83E-19	present	0.05
ENSG00000038274	4.95E-21	present	0.05
ENSG00000038295	3.00E-07	present	0.05
