libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	approach	cutoff	mean	standard_deviation
SRX493999	0.0783174	72.6680518897063	12940	17807	76.4967376496738	10669	13947	3.66425223689817	86	2347	qValueCutoff	0.05	NA	NA
ERX011222	0.442367	32.2159044087351	19547	60675	74.3553797626796	14851	19973	0.0683126768810384	14	20494	pValueCutoff	0.001	0.0137896666494983	3.07116458926763
ERX011222	0.187697	37.4602389781623	22729	60675	78.7463075151454	15728	19973	0.439152922806675	90	20494	pValueCutoff	0.01	0.0137896666494983	3.07116458926763
ERX011222	0.0873245	41.5624227441286	25218	60675	81.6602413257898	16310	19973	2.29335415243486	470	20494	pValueCutoff	0.05	0.0137896666494983	3.07116458926763
ERX011222	0.100378	40.9048207663783	24819	60675	81.2096330045562	16220	19973	1.69805796818581	348	20494	qValueCutoff	0.05	NA	NA
ERX011227	0.558672	31.9489081170169	19385	60675	72.5379262003705	14488	19973	0.0390358153605933	8	20494	pValueCutoff	0.001	0.0160582451585412	3.15248278414324
ERX011227	0.232294	37.7387721466831	22898	60675	77.5096380113153	15481	19973	0.312286522884747	64	20494	pValueCutoff	0.01	0.0160582451585412	3.15248278414324
ERX011227	0.106155	42.2645241038319	25644	60675	80.8291193110699	16144	19973	2.06401873719137	423	20494	pValueCutoff	0.05	0.0160582451585412	3.15248278414324
ERX011227	0.116762	41.8063452822415	25366	60675	80.4936664497071	16077	19973	1.62974529130477	334	20494	qValueCutoff	0.05	NA	NA
ERX288491	0.3583514	36.7597857437165	22304	60675	77.9151855004256	15562	19973	0.23421489216356	48	20494	pValueCutoff	0.001	0.0249789766201111	2.36712531541117
ERX288491	0.185466	39.4297486608982	23924	60675	80.2783758073399	16034	19973	0.76119839953157	156	20494	pValueCutoff	0.01	0.0249789766201111	2.36712531541117
ERX288491	0.10308	41.1372064276885	24960	60675	81.9456265959045	16367	19973	2.22992095247389	457	20494	pValueCutoff	0.05	0.0249789766201111	2.36712531541117
ERX288491	0.14798	40.1433868974042	24357	60675	80.9793220848145	16174	19973	1.26378452229921	259	20494	qValueCutoff	0.05	NA	NA
