libraryId	cutoffTPM	proportionGenicPresent	numberGenicPresent	numberGenic	proportionCodingPresent	numberPresentCoding	numberCoding	proportionIntergenicPresent	numberIntergenicPresent	numberIntergenic	approach	cutoff	mean	standard_deviation
SRX3055141	0.957753	39.7628509579658	12307	30951	56.710728253874	11455	20199	7.3680196593509	1739	23602	pValueCutoff	0.05	0.0260780370398947	8.9389400043654
SRX3055142	0.919491	32.3059028787438	9999	30951	47.0221298084064	9498	20199	5.38089992373528	1270	23602	pValueCutoff	0.05	0.0213641276805154	9.84712193168773
SRX3055143	2.03629	39.400988659494	12195	30951	57.0424278429625	11522	20199	6.37234132700619	1504	23602	pValueCutoff	0.05	0.0433628914014639	10.3823517754636
SRX3055144	0.795631	36.7484087751607	11374	30951	52.7253824446755	10650	20199	6.47826455385137	1529	23602	pValueCutoff	0.05	0.0186201256528906	9.80385441814223
SRX3055145	0.776197	37.4139769312785	11580	30951	53.5274023466508	10812	20199	7.16888399288196	1692	23602	pValueCutoff	0.05	0.0194294318627434	9.40886239267661
SRX3055146	1.1375	38.4511001260056	11901	30951	55.2502599138571	11160	20199	7.12651470214389	1682	23602	pValueCutoff	0.05	0.0266436816513669	9.79754163561898
SRX3055147	2.53748	41.1262964039934	12729	30951	58.3147680578246	11779	20199	7.99508516227438	1887	23602	pValueCutoff	0.05	0.0717059115508474	8.74231010696039
SRX3055148	0.710625	38.3057090239411	11856	30951	54.9235110649042	11094	20199	5.66053724260656	1336	23602	pValueCutoff	0.05	0.0236173815162524	7.92079322759796
SRX3055149	1.65857	41.7854027333527	12933	30951	59.3494727461756	11988	20199	7.85950343191255	1855	23602	pValueCutoff	0.05	0.0430180921187266	9.20814299896077
SRX3055150	2.16722	39.3234467383929	12171	30951	56.4087331055993	11394	20199	7.41038895008898	1749	23602	pValueCutoff	0.05	0.0495099920212764	9.94717150095021
SRX3055151	0.901053	35.5691253917482	11009	30951	51.1213426407248	10326	20199	6.12659944072536	1446	23602	pValueCutoff	0.05	0.0259108586970501	8.64834869331254
SRX3055152	0.8957957	35.5077380375432	10990	30951	50.9530174761127	10292	20199	6.69011100754173	1579	23602	pValueCutoff	0.05	0.0218298440104377	9.56549535898726
SRX3055153	0.93365	38.958353526542	12058	30951	55.5671072825387	11224	20199	7.35530887212948	1736	23602	pValueCutoff	0.05	0.0249721938992444	9.03929883431445
SRX3055154	0.783503	40.3379535394656	12485	30951	56.3295212634289	11378	20199	7.68155241081264	1813	23602	pValueCutoff	0.05	0.0235520652294639	8.41896926289459
SRX3055155	1.951154	41.4041549546057	12815	30951	58.5573543244715	11828	20199	8.44843657317177	1994	23602	pValueCutoff	0.05	0.0557369106724718	8.68418068985222
SRX3055156	1.45732	41.8855610481083	12964	30951	59.3098668250904	11980	20199	8.3509872044742	1971	23602	pValueCutoff	0.05	0.0399062105293122	8.90989451548763
SRX3055157	1.7206	43.2037737068269	13372	30951	60.8049903460567	12282	20199	8.40606728243369	1984	23602	pValueCutoff	0.05	0.0503518192721287	8.558166457434
SRX3055158	0.760677	40.3799554133954	12498	30951	56.6463686321105	11442	20199	7.78747563765783	1838	23602	pValueCutoff	0.05	0.0232417062670735	8.3364419539374
SRX3055159	0.0337995	41.9631029692094	12988	30951	59.5227486509233	12023	20199	6.73248029827981	1589	23602	pValueCutoff	0.05	0.00104929897393738	8.25402065924401
SRX3055160	1.70199	42.9291460695939	13287	30951	60.7109262834794	12263	20199	8.355224133548	1972	23602	pValueCutoff	0.05	0.04919044252133	8.62206199693433
SRX3055161	1.92571	41.1295273173726	12730	30951	57.9632655081935	11708	20199	8.42725192780273	1989	23602	pValueCutoff	0.05	0.0597567093486181	8.25822349299827
SRX3055162	1.66545	38.1797034021518	11817	30951	54.9779692063964	11105	20199	7.03330226252013	1660	23602	pValueCutoff	0.05	0.0364439979758492	10.2103827496009
SRX3055163	1.32085	41.0196762624794	12696	30951	58.2058517748403	11757	20199	7.40615202101517	1748	23602	pValueCutoff	0.05	0.036911072993808	8.79804597043679
SRX3055164	2.200046	41.8467900875577	12952	30951	59.0474775979009	11927	20199	8.43148885687654	1990	23602	pValueCutoff	0.05	0.0609377788012753	8.84929686357758
SRX3055165	1.76603	40.9259797744822	12667	30951	58.3197187979603	11780	20199	8.32980255910516	1966	23602	pValueCutoff	0.05	0.0386820839446047	10.206589053445
SRX3055166	0.955289	40.8516687667604	12644	30951	57.091935244319	11532	20199	7.95271587153631	1877	23602	pValueCutoff	0.05	0.0291838308506204	8.33585658561906
SRX3055167	1.97012	43.2490064941359	13386	30951	61.4089806426061	12404	20199	8.49504279298364	2005	23602	pValueCutoff	0.05	0.0479068570966668	9.5742525833282
SRX3055168	1.645045	41.9372556621757	12980	30951	59.6663201148572	12052	20199	8.45691043131938	1996	23602	pValueCutoff	0.05	0.0386830846502971	9.77235985586955
SRX3055169	1.27811	41.6270879777713	12884	30951	58.7900391108471	11875	20199	8.25777476485044	1949	23602	pValueCutoff	0.05	0.0359450611455553	8.7678897201105
SRX3055170	1.7594363793742	41.5786242770831	12869	30951	58.8296450319323	11883	20199	8.40606728243369	1984	23602	pValueCutoff	0.05	0.0465679193716853	9.09418177022467
SRX3055171	2.16118	40.434880940842	12515	30951	57.4681914946284	11608	20199	8.38911956613846	1980	23602	pValueCutoff	0.05	0.0484626292955017	10.0619147162329
SRX3055172	1.39912	40.7676650189008	12618	30951	58.2009010347047	11756	20199	8.18998389966952	1933	23602	pValueCutoff	0.05	0.0338419320610623	9.60935314897442
SRX3055173	1.1202	40.8516687667604	12644	30951	57.9682162483291	11709	20199	8.01203287856961	1891	23602	pValueCutoff	0.05	0.0270904480760908	9.6085822935877
SRX3055174	1.4987722	39.9987076346483	12380	30951	57.0028219218773	11514	20199	7.4230997373104	1752	23602	pValueCutoff	0.05	0.0348830091226854	9.83188450361313
SRX3055175	1.2655	37.969694032503	11752	30951	54.2551611465914	10959	20199	6.9612744682654	1643	23602	pValueCutoff	0.05	0.0295583064633944	9.81570385200053
SRX3055176	1.51667	37.3945914510032	11574	30951	53.2996683004109	10766	20199	7.29175493602237	1721	23602	pValueCutoff	0.05	0.0365676660685031	9.62773200858875
SRX3055177	1.84514	38.4511001260056	11901	30951	55.7255309668795	11256	20199	7.10533005677485	1677	23602	pValueCutoff	0.05	0.0356187735601632	11.019715149172
SRX3055178	1.93874	41.1844528448192	12747	30951	58.4731917421655	11811	20199	7.28328107787476	1719	23602	pValueCutoff	0.05	0.0531601120024151	8.89910758264051
SRX3055179	1.74084	39.2652902975671	12153	30951	56.6463686321105	11442	20199	6.59689856791797	1557	23602	pValueCutoff	0.05	0.0407815579717476	9.79719742346639
SRX3055180	2.994708	38.548027527382	11931	30951	55.5374028417248	11218	20199	7.83408185746971	1849	23602	pValueCutoff	0.05	0.0678298394495792	10.0002216476269
SRX3055181	1.45825	39.4946851474912	12224	30951	56.8542997178078	11484	20199	6.728243369206	1588	23602	pValueCutoff	0.05	0.0328418359434728	10.0354124582851
SRX3055182	2.521109	37.1878129947336	11510	30951	53.9185108173672	10891	20199	7.57986611304127	1789	23602	pValueCutoff	0.05	0.0520131513869753	10.5830379368627
SRX3055183	3.26798	29.979645245711	9279	30951	43.4674983910095	8780	20199	7.09685619862724	1675	23602	pValueCutoff	0.05	0.0519280747680717	12.4051981677081
SRX3058360	1.58296	26.3867872895271	8196	31061	29.2468134414832	7572	25890	3.78899136462433	645	17023	pValueCutoff	0.05	0.0704039794205557	6.63502321460062
SRX3058361	3.41297	29.0460706352017	9022	31061	33.0977211278486	8569	25890	5.40445279915409	920	17023	pValueCutoff	0.05	0.0931202981127456	8.92983723289997
SRX3058363	4.64524	40.7842632239786	12668	31061	46.5701042873696	12057	25890	6.19162309816131	1054	17023	pValueCutoff	0.05	0.219832445239033	6.38916892903164
SRX3058366	5.78827	41.8080551173497	12986	31061	47.2537659327926	12234	25890	6.45597133290254	1099	17023	pValueCutoff	0.05	0.267820073836678	6.47776359594592
SRX3058369	4.90714	37.0078233154116	11495	31061	42.5801467748165	11024	25890	6.08000939904835	1035	17023	pValueCutoff	0.05	0.201334848388965	6.96805416824392
SRX3058370	4.44785	39.084382344419	12140	31061	44.6929316338355	11571	25890	6.25036715032603	1064	17023	pValueCutoff	0.05	0.206632619237223	6.46148150883828
SRX3058371	5.13535762	39.1519912430379	12161	31061	44.5345693317883	11530	25890	6.19749750337778	1055	17023	pValueCutoff	0.05	0.25733991510287	6.17106520983821
SRX3058372	4.95349	38.434049129133	11938	31061	43.8277327153341	11347	25890	5.86265640603889	998	17023	pValueCutoff	0.05	0.250021313553544	6.14180807518242
SRX3058373	4.84844876458035	41.981906570941	13040	31061	47.7829277713403	12371	25890	6.04476296774952	1029	17023	pValueCutoff	0.05	0.228488855710844	6.40497700828077
SRX3058374	4.92715	41.1738192588777	12789	31061	47.0413286983391	12179	25890	6.2973623920578	1072	17023	pValueCutoff	0.05	0.231332549074481	6.42064346511039
SRX3058377	4.52694	36.1353465760922	11224	31061	41.5372730784087	10754	25890	5.04023967573283	858	17023	pValueCutoff	0.05	0.198714222482871	6.68824882652123
SRX3058378	4.45023000255296	37.9479089533499	11787	31061	43.7852452684434	11336	25890	5.39270398872114	918	17023	pValueCutoff	0.05	0.204573700781434	6.50324371151271
SRX3058379	4.6146304	36.4540742410096	11323	31061	41.9003476245655	10848	25890	5.33395993655642	908	17023	pValueCutoff	0.05	0.205234225807855	6.63341809725373
SRX306488	2.24197	47.8644572705269	12854	26855	67.8861563967947	12284	18095	6.90841393824113	1707	24709	pValueCutoff	0.05	0.0912242903704996	7.00296938065147
