libraryId	proportionCodingPresent	proportionGenicPresent	speciesId	organism
SRX583773	62.9449757172182	25.8459002884219	9606	Homo sapiens
SRX571468	65.4984228708757	27.4791924186238	9606	Homo sapiens
SRX617004	63.2353677464577	25.5871446229913	9606	Homo sapiens
SRX580813	66.9103289440745	28.5916769674495	9606	Homo sapiens
SRX409291	60.5617583738046	23.9291306139267	9606	Homo sapiens
SRX416840	64.2367195714214	26.2117840955913	9606	Homo sapiens
SRX408437	64.9276523306464	26.4194478780387	9606	Homo sapiens
SRX410428	64.8926050167726	25.9859909353111	9606	Homo sapiens
SRX408653	62.068792870375	25.0515039142975	9606	Homo sapiens
SRX413178	63.6809693085666	25.7124021425628	9606	Homo sapiens
SRX599104	65.3832674110049	27.1446229913473	9606	Homo sapiens
SRX591023	60.1512041255695	23.8384837247631	9606	Homo sapiens
SRX577307	65.3882741701297	26.1161928306551	9606	Homo sapiens
SRX618953	63.9463275421819	25.1322620519159	9606	Homo sapiens
SRX594442	62.2290091623692	25.1487433044911	9606	Homo sapiens
SRX612989	59.9609472788264	23.9538524927895	9606	Homo sapiens
SRX615792	62.1388874981225	25.091058920478	9606	Homo sapiens
SRX606452	60.7970760526711	24.1664606510095	9606	Homo sapiens
SRX579979	59.9759675562009	23.9126493613515	9606	Homo sapiens
SRX578244	65.3832674110049	27.3044911413267	9606	Homo sapiens
SRX565992	62.509387673359	24.8916357643181	9606	Homo sapiens
SRX617264	67.696390126671	30.6435929130614	9606	Homo sapiens
SRX573561	65.7137135132429	27.8302430984755	9606	Homo sapiens
SRX623786	65.4783958343764	26.6188710341986	9606	Homo sapiens
SRX590437	66.6900315425825	29.3399258343634	9606	Homo sapiens
SRX625293	65.8739298052371	26.8100535640709	9606	Homo sapiens
SRX615999	64.6673008561558	26.4161516275237	9606	Homo sapiens
SRX579938	66.8152005207029	27.4264524103832	9606	Homo sapiens
SRX630944	62.0237320382516	25.4388133498146	9606	Homo sapiens
SRX583270	62.7647323887248	25.1503914297487	9606	Homo sapiens
SRX567512	65.7788013818655	27.7395962093119	9606	Homo sapiens
SRX606095	65.3181795423822	26.7457766790276	9606	Homo sapiens
SRX571712	63.5658138486957	26.0453234445818	9606	Homo sapiens
SRX620208	61.3327992790267	24.21260815822	9606	Homo sapiens
SRX615120	65.2180443598858	27.3588792748249	9606	Homo sapiens
SRX615262	64.6422670605317	26.4524103831891	9606	Homo sapiens
SRX618126	50.538226605918	18.7259991759374	9606	Homo sapiens
SRX614610	62.814799979973	25.2740008240626	9606	Homo sapiens
SRX572385	59.8558053372052	23.9917593737124	9606	Homo sapiens
SRX622307	60.5066840234316	24.1038318912237	9606	Homo sapiens
SRX260219	52.5559505332198	20.044499381953	9606	Homo sapiens
SRX261992	49.9123817153157	18.6567779151216	9606	Homo sapiens
SRX260227	60.1562108846943	23.1759373712402	9606	Homo sapiens
SRX415250	68.5325189005157	30.9369592088999	9606	Homo sapiens
SRX413376	62.7897661843489	25.3415739596209	9606	Homo sapiens
SRX616221	20.0470635357733	7.01277297074578	9606	Homo sapiens
SRX410634	63.916286987433	25.7684384013185	9606	Homo sapiens
SRX638205	54.8490462123867	20.2340337865678	9606	Homo sapiens
SRX623882	55.2746207379963	21.1981870622167	9606	Homo sapiens
SRX617968	43.7991288239123	16.037906880923	9606	Homo sapiens
SRX619946	61.7784008411355	24.9311907704986	9606	Homo sapiens
SRX419522	61.6432183447654	25.138854552946	9606	Homo sapiens
SRX411352	66.0591798928554	27.5583024309848	9606	Homo sapiens
SRX417526	66.0591798928554	28.4730119489081	9606	Homo sapiens
SRX416648	59.5353727532168	23.7824474660074	9606	Homo sapiens
SRX406187	60.7770490161718	24.2076637824475	9606	Homo sapiens
SRX410364	63.5107394983227	26.1557478368356	9606	Homo sapiens
SRX558559	63.0551244179643	25.2047795632468	9606	Homo sapiens
SRX563886	60.1411906073199	23.3572311495674	9606	Homo sapiens
SRX634156	66.1693285936014	28.9031726411207	9606	Homo sapiens
SRX606136	66.1743353527262	28.7268232385661	9606	Homo sapiens
SRX620158	64.3418615130426	27.4215080346106	9606	Homo sapiens
SRX607421	64.4820507685375	28.0889987639061	9606	Homo sapiens
SRX569091	65.268111951134	28.21260815822	9606	Homo sapiens
SRX558478	64.7373954839033	27.4709517923362	9606	Homo sapiens
SRX622816	65.9740649877334	29.0877626699629	9606	Homo sapiens
SRX614540	63.5507935713213	25.6827358879275	9606	Homo sapiens
SRX561365	66.9904370900716	30.8825710754017	9606	Homo sapiens
SRX572750	64.8375306663996	27.9159456118665	9606	Homo sapiens
SRX585218	66.4296800680919	29.5014421096003	9606	Homo sapiens
SRX559431	64.497071045912	27.3704161516275	9606	Homo sapiens
SRX568788	65.9089771191108	30.0931190770499	9606	Homo sapiens
SRX623508	66.5798828418365	29.5096827358879	9606	Homo sapiens
SRX619219	65.6786661993691	28.8487845076226	9606	Homo sapiens
SRX634720	64.0414559655535	26.9237742068397	9606	Homo sapiens
SRX629376	64.6122265057828	28.3147919241862	9606	Homo sapiens
SRX579967	63.8962599509338	26.8100535640709	9606	Homo sapiens
SRX562226	65.8338757322385	28.5653069633292	9606	Homo sapiens
SRX602592	64.1415911480499	27.0160692212608	9606	Homo sapiens
SRX559328	64.5170980824113	27.6110424392254	9606	Homo sapiens
SRX570138	65.9690582286086	28.6493613514627	9606	Homo sapiens
SRX580505	65.1529564912632	27.5731355583024	9606	Homo sapiens
SRX616273	65.2530916737596	27.6835599505562	9606	Homo sapiens
SRX592995	65.79382165924	27.955500618047	9606	Homo sapiens
SRX575729	65.5034296300005	29.0251339101772	9606	Homo sapiens
SRX566510	64.1566114254243	26.7886279357231	9606	Homo sapiens
SRX606734	65.3131727832574	27.9670374948496	9606	Homo sapiens
SRX563753	66.5448355279628	29.2031314379893	9606	Homo sapiens
SRX582041	58.0633855705202	22.3535228677379	9606	Homo sapiens
SRX629766	65.79382165924	28.8603213844252	9606	Homo sapiens
SRX628604	65.6686526811195	28.3049031726411	9606	Homo sapiens
SRX614095	65.3632403745056	28.4400494437577	9606	Homo sapiens
SRX582757	64.2567466079207	27.3803049031726	9606	Homo sapiens
SRX598236	67.0154708856957	29.9316028018129	9606	Homo sapiens
SRX562473	66.6700045060832	29.5723114956737	9606	Homo sapiens
SRX596109	65.1479497321384	28.3164400494438	9606	Homo sapiens
SRX570866	65.0878686226406	28.041203131438	9606	Homo sapiens
SRX617702	66.4697341410905	29.8475484136794	9606	Homo sapiens
