libraryId	cellTypeName	cellTypeId	CPM_Threshold	Genic	Genic_region_present	Proportion_genic_present	Protein_coding	Coding_region_present	Proportion_coding_present	Intergenic	Intergenic_region_present	Proportion_intergenic_present	pValue_cutoff	meanRefIntergenic	sdRefIntergenic	species	organism
SRX3815589	Round S'tids	CL:0000018	8.65792046936115	60674	10155	16.7369878366351	19826	7864	39.6650862503783	28574	1852	6.48141667249948	0.05	1.35700202591887	3.06890125961215	9606	Homo sapiens
SRX3815589	Sperm	CL:0000019	3.14573386462359	60674	9543	15.7283185549	19826	7117	35.8973065671341	28574	1269	4.44110030097291	0.05	0.580625204931997	2.76131578068338	9606	Homo sapiens
SRX3815589	SSCs	CL:0000089	14.3573529188897	60674	8109	13.3648679829911	19826	7714	38.9085039846666	28574	1335	4.67207951284384	0.05	3.04004728456459	2.49593979045802	9606	Homo sapiens
SRX3815590	Early primary S'cytes	CL:0000656	12.0358548114834	60674	8566	14.1180736394502	19826	7870	39.6953495410068	28574	1662	5.81647651711346	0.05	2.77131120614266	2.40497837441483	9606	Homo sapiens
SRX3815590	Elongated S'tids	CL:0000018	7.29216739549449	60674	9439	15.5569107031018	19826	7024	35.4282255623928	28574	1883	6.58990690837825	0.05	1.17547598410231	2.97035534929202	9606	Homo sapiens
SRX3815590	Late primary S'cytes	CL:0000656	8.04839499912977	60674	9340	15.3937436134094	19826	8133	41.0218904468879	28574	1661	5.81297683208511	0.05	2.12577169134687	2.19833947080493	9606	Homo sapiens
SRX3815590	Round S'tids	CL:0000018	8.60147351842844	60674	10072	16.6001911856809	19826	7831	39.4986381519217	28574	1887	6.60390564849164	0.05	1.5922260641102	2.78433089953361	9606	Homo sapiens
SRX3815590	Sperm	CL:0000019	3.23624221423692	60674	8876	14.6290008900023	19826	6628	33.430848380914	28574	1245	4.35710786029257	0.05	0.562142826062164	2.80246949990222	9606	Homo sapiens
SRX3815591	Elongated S'tids	CL:0000018	7.65229911796539	60674	9296	15.3212249068794	19826	6925	34.9288812670231	28574	1858	6.50241478266956	0.05	1.23476704613329	2.97070065419416	9606	Homo sapiens
SRX3815591	Round S'tids	CL:0000018	8.85547858942065	60674	9866	16.2606717869269	19826	7666	38.6663976596389	28574	1808	6.32743053125219	0.05	1.63293658804114	2.73581987525084	9606	Homo sapiens
SRX3815591	Sperm	CL:0000019	3.68589423633647	60674	8669	14.2878333388272	19826	6494	32.7549682235448	28574	1190	4.16462518373346	0.05	0.707847638085204	2.70899091791942	9606	Homo sapiens
SRX6060800	B-cell	CL:0000236	7.44030203906128	47728	7730	16.1959436808582	22048	7308	33.1458635703919	28897	1547	5.35349690279268	0.05	0.917984571652164	3.56584555568653	10090	Mus musculus
SRX6060800	Marginal-zone-B-cell	CL:0000845	10.077546722026	47728	6981	14.6266342608113	22048	6648	30.1523947750363	28897	1129	3.90697996331799	0.05	2.05378304250066	2.52313834835089	10090	Mus musculus
SRX6060800	Memory-CD8-T-cell	CL:0000909	11.3591701444659	47728	6684	14.00435802883	22048	6403	29.04118287373	28897	917	3.1733397930581	0.05	3.74549332369692	1.96155926268623	10090	Mus musculus
SRX6060800	Naive-CD4-T-cell	CL:0000895	8.26570483919447	47728	7549	15.8167113643983	22048	7185	32.5879898403483	28897	1273	4.40530158840018	0.05	1.80047874298664	2.49019383449789	10090	Mus musculus
SRX6060800	Naive-CD8-T-cell	CL:0000900	8.05289859611134	47728	7203	15.091770030171	22048	6864	31.1320754716981	28897	1162	4.02117866906599	0.05	1.957032363609	2.35873679562134	10090	Mus musculus
SRX6060801	B-cell	CL:0000236	7.64355942217748	47728	7628	15.9822326516929	22048	7229	32.7875544267054	28897	1526	5.28082499913486	0.05	0.907417405606978	3.63483413958738	10090	Mus musculus
SRX6060801	Marginal-zone-B-cell	CL:0000845	10.1321228823863	47728	6984	14.6329198793161	22048	6679	30.2929970972424	28897	1210	4.18728587742672	0.05	2.11472106729986	2.56247352204948	10090	Mus musculus
SRX6060801	Naive-CD8-T-cell	CL:0000900	8.51733618607313	47728	7034	14.7376801877305	22048	6716	30.4608127721335	28897	1095	3.78932069072914	0.05	1.90876637813621	2.38867133509843	10090	Mus musculus
SRX6060802	B-cell	CL:0000236	6.74051890990677	47728	7934	16.6233657391887	22048	7497	34.003084179971	28897	1522	5.26698273177146	0.05	0.809908173672963	3.60976978825004	10090	Mus musculus
SRX6060802	Marginal-zone-B-cell	CL:0000845	9.32868256104563	47728	7281	15.2551961112973	22048	6933	31.4450290275762	28897	1097	3.79624182441084	0.05	1.98846049174794	2.49036266485231	10090	Mus musculus
SRX6060802	Memory-CD8-T-cell	CL:0000909	10.2531634213268	47728	6911	14.4799698290312	22048	6620	30.0253991291727	28897	883	3.05568052046925	0.05	2.47505197107267	2.20045862464139	10090	Mus musculus
SRX6060802	Multiplet	CL:0000548	13.6713249427855	47728	6467	13.5496982903118	22048	6204	28.1386066763425	28897	790	2.73384780427034	0.05	4.30750632222295	1.93464871517629	10090	Mus musculus
SRX6060802	Naive-CD4-T-cell	CL:0000895	6.95203680042385	47728	7810	16.3635601743212	22048	7413	33.6220972423803	28897	1386	4.79634564141606	0.05	1.16991488959102	2.86325485427291	10090	Mus musculus
SRX6060802	Naive-CD8-T-cell	CL:0000900	6.70841087138232	47728	7630	15.9864230640295	22048	7244	32.855587808418	28897	1323	4.57832993044261	0.05	1.25507394080574	2.71892908905122	10090	Mus musculus
SRX6060802	NK-cell	CL:0000623	12.5268021370724	47728	6818	14.2851156553805	22048	6540	29.6625544267054	28897	835	2.88957331210852	0.05	3.60940633572813	2.09921707098304	10090	Mus musculus
SRX6060803	B-cell	CL:0000236	6.5314866643371	47728	7990	16.7406972846128	22048	7542	34.2071843251089	28897	1540	5.32927293490674	0.05	0.773398537245197	3.63700005233194	10090	Mus musculus
SRX6060803	Marginal-zone-B-cell	CL:0000845	9.12254774513426	47728	7352	15.4039557492457	22048	6994	31.7216981132075	28897	1141	3.94850676540817	0.05	2.04634153786499	2.42903750417123	10090	Mus musculus
SRX6060803	Memory-CD8-T-cell	CL:0000909	9.40117219186987	47728	7217	15.121102916527	22048	6895	31.2726777939042	28897	956	3.3083018998512	0.05	2.48642910251865	2.13872613230053	10090	Mus musculus
