id	minimum_qValue	call	cutoff
FBgn0002578	0.001171518	present	0.05
FBgn0002579	1.77E-08	present	0.05
FBgn0002590	1.77E-08	present	0.05
FBgn0002592	0.035568924	absent	0.05
FBgn0002593	1.77E-08	present	0.05
FBgn0002609	0.028086944	absent	0.05
FBgn0002622	1.77E-08	present	0.05
FBgn0002626	1.77E-08	present	0.05
FBgn0002629	0.053838151	absent	0.05
FBgn0002631	1	absent	0.05
FBgn0002632	1	absent	0.05
FBgn0002633	0.226381736	absent	0.05
FBgn0002638	1.77E-08	present	0.05
FBgn0002641	0.006484576	present	0.05
FBgn0002643	0.001047777	present	0.05
FBgn0002645	0.000672357	present	0.05
FBgn0002673	7.43E-06	present	0.05
FBgn0002707	0.016947938	absent	0.05
FBgn0002709	0.00011881	present	0.05
FBgn0002715	1.77E-08	present	0.05
FBgn0002716	0.025993734	absent	0.05
FBgn0002719	1.77E-08	present	0.05
FBgn0002723	0.012903012	absent	0.05
FBgn0002732	0.006362987	present	0.05
FBgn0002733	0.080943354	absent	0.05
FBgn0002734	0.157777825	absent	0.05
FBgn0002735	0.226284559	absent	0.05
FBgn0002736	1.27E-05	present	0.05
FBgn0002772	9.55E-05	present	0.05
FBgn0002773	3.19E-06	present	0.05
FBgn0002774	0.001267126	present	0.05
FBgn0002775	0.000100973	present	0.05
FBgn0002778	0.005199582	present	0.05
FBgn0002780	0.00052609	present	0.05
FBgn0002781	1.77E-08	present	0.05
FBgn0002783	0.000285007	present	0.05
FBgn0002787	1.77E-08	present	0.05
FBgn0002789	1.77E-08	present	0.05
FBgn0002791	0.000193726	present	0.05
FBgn0002838	0.000203538	present	0.05
FBgn0002842	1.77E-08	present	0.05
FBgn0002855	1.77E-08	present	0.05
FBgn0002856	4.39E-05	present	0.05
FBgn0002862	1.77E-08	present	0.05
FBgn0002863	1.77E-08	present	0.05
FBgn0002865	1.77E-08	present	0.05
FBgn0002868	1.77E-08	present	0.05
FBgn0002869	1.77E-08	present	0.05
FBgn0002872	0.001343187	present	0.05
FBgn0002873	0.000356911	present	0.05
FBgn0002878	0.000950163	present	0.05
FBgn0002887	0.003767745	present	0.05
FBgn0002891	0.007138662	present	0.05
FBgn0002899	0.010065671	present	0.05
FBgn0002901	0.003147312	present	0.05
FBgn0002905	0.004484895	present	0.05
FBgn0002906	0.001032735	present	0.05
FBgn0002909	0.003155775	present	0.05
FBgn0002914	1.66E-05	present	0.05
FBgn0002917	0.04027875	absent	0.05
FBgn0002921	1.75E-05	present	0.05
FBgn0002922	0.2019629	absent	0.05
FBgn0002924	5.13E-06	present	0.05
FBgn0002926	0.057698134	absent	0.05
FBgn0002930	0.00032439	present	0.05
FBgn0002931	0.001413644	present	0.05
FBgn0002932	0.003668494	present	0.05
FBgn0002933	1	absent	0.05
FBgn0002936	0.018005203	absent	0.05
FBgn0002937	0.09560091	absent	0.05
FBgn0002938	0.03127298	absent	0.05
FBgn0002939	0.000945298	present	0.05
FBgn0002940	2.99E-05	present	0.05
FBgn0002941	1	absent	0.05
FBgn0002945	0.03500332	absent	0.05
FBgn0002948	0.033201517	absent	0.05
FBgn0002962	0.010928646	present	0.05
FBgn0002973	0.00047684	present	0.05
FBgn0002985	0.026398707	absent	0.05
FBgn0002989	0.001261716	present	0.05
FBgn0003002	0.28357707	absent	0.05
FBgn0003008	0.000232591	present	0.05
FBgn0003009	0.000732475	present	0.05
FBgn0003011	0.06357153	absent	0.05
FBgn0003015	0.061902716	absent	0.05
FBgn0003016	0.002979731	present	0.05
FBgn0003023	0.012790842	absent	0.05
FBgn0003028	0.120746575	absent	0.05
FBgn0003034	1.77E-08	present	0.05
FBgn0003041	0.008800853	present	0.05
FBgn0003042	0.004315669	present	0.05
FBgn0003044	0.001393438	present	0.05
FBgn0003046	0.00027782	present	0.05
FBgn0003048	0.003569976	present	0.05
FBgn0003053	0.000631605	present	0.05
FBgn0003057	1	absent	0.05
FBgn0003060	0.007391506	present	0.05
FBgn0003062	1.77E-08	present	0.05
FBgn0003065	0.003991534	present	0.05
FBgn0003067	0.000862231	present	0.05
FBgn0003068	0.009202059	present	0.05
FBgn0003071	1.77E-08	present	0.05
FBgn0003074	1.77E-08	present	0.05
FBgn0003076	8.67E-07	present	0.05
FBgn0003079	0.004740331	present	0.05
FBgn0003082	0.000432855	present	0.05
FBgn0003086	1	absent	0.05
FBgn0003087	2.30E-05	present	0.05
FBgn0003089	0.007323524	present	0.05
FBgn0003090	0.008053884	present	0.05
FBgn0003091	0.054706275	absent	0.05
FBgn0003093	0.006785815	present	0.05
FBgn0003114	0.001374275	present	0.05
FBgn0003116	0.001571314	present	0.05
FBgn0003117	0.145334917	absent	0.05
FBgn0003118	0.045628938	absent	0.05
FBgn0003124	3.22E-05	present	0.05
FBgn0003129	0.025359984	absent	0.05
FBgn0003130	0.255462731	absent	0.05
FBgn0003132	0.000102351	present	0.05
FBgn0003134	0.000133057	present	0.05
FBgn0003137	0.006955245	present	0.05
FBgn0003139	1.41E-05	present	0.05
